"sciname","TempMin","TempMax","EnvTemp"
"Abyssocottus elochini",NA,NA,"deep-water"
"Abyssocottus gibbosus",NA,NA,"deep-water"
"Abyssocottus korotneffi",NA,NA,"deep-water"
"Asprocottus abyssalis",NA,NA,"deep-water"
"Asprocottus herzensteini",NA,NA,"deep-water"
"Asprocottus intermedius",NA,NA,"deep-water"
"Asprocottus korjakovi",NA,NA,"temperate"
"Asprocottus minor",NA,NA,"temperate"
"Asprocottus parmiferus",NA,NA,"deep-water"
"Asprocottus platycephalus",NA,NA,"deep-water"
"Asprocottus pulcher",NA,NA,"temperate"
"Cottinella boulengeri",NA,NA,"deep-water"
"Cyphocottus eurystomus",NA,NA,"deep-water"
"Cyphocottus megalops",NA,NA,"deep-water"
"Limnocottus bergianus",NA,NA,"deep-water"
"Limnocottus godlewskii",NA,NA,"deep-water"
"Limnocottus griseus",NA,NA,"deep-water"
"Limnocottus pallidus",NA,NA,"deep-water"
"Neocottus thermalis",NA,NA,"deep-water"
"Neocottus werestschagini",NA,NA,"deep-water"
"Procottus gotoi",NA,NA,"boreal"
"Procottus gurwicii",NA,NA,"temperate"
"Procottus jeittelesii",NA,NA,"boreal"
"Procottus major",NA,NA,"boreal"
"Acanthurus achilles",26,28,"tropical"
"Acanthurus albipectoralis",NA,NA,"tropical"
"Acanthurus auranticavus",NA,NA,"tropical"
"Acanthurus bahianus",21,25,"tropical"
"Acanthurus bariene",23,29,"tropical"
"Acanthurus blochii",NA,NA,"tropical"
"Acanthurus chirurgus",22,25,"subtropical"
"Acanthurus chronixis",NA,NA,"tropical"
"Acanthurus coeruleus",24,26,"tropical"
"Acanthurus dussumieri",24,28,"tropical"
"Acanthurus fowleri",24,28,"tropical"
"Acanthurus gahhm",25,27,"tropical"
"Acanthurus grammoptilus",NA,NA,"tropical"
"Acanthurus guttatus",NA,NA,"tropical"
"Acanthurus japonicus",24,28,"tropical"
"Acanthurus leucocheilus",23,27,"tropical"
"Acanthurus leucopareius",24,28,"subtropical"
"Acanthurus leucosternon",23,28,"tropical"
"Acanthurus lineatus",24,30,"tropical"
"Acanthurus maculiceps",24,28,"tropical"
"Acanthurus mata",23,28,"tropical"
"Acanthurus monroviae",20,25,"tropical"
