"sciname","TempMin","TempMax","EnvTemp"
"Acanthurus nigricans",21,29,"tropical"
"Acanthurus nigricauda",23,28,"tropical"
"Acanthurus nigrofuscus",24,28,"tropical"
"Acanthurus nigroris",NA,NA,"tropical"
"Acanthurus nubilus",24,28,"tropical"
"Acanthurus olivaceus",24,28,"tropical"
"Acanthurus polyzona",NA,NA,"tropical"
"Acanthurus pyroferus",26,28,"tropical"
"Acanthurus randalli",NA,NA,"tropical"
"Acanthurus reversus",NA,NA,"tropical"
"Acanthurus sohal",24,30,"tropical"
"Acanthurus tennentii",24,28,"tropical"
"Acanthurus thompsoni",24,27,"tropical"
"Acanthurus triostegus",24,26,"tropical"
"Acanthurus tristis",NA,NA,"tropical"
"Acanthurus xanthopterus",24,28,"tropical"
"Ctenochaetus binotatus",24,26,"tropical"
"Ctenochaetus cyanocheilus",NA,NA,"tropical"
"Ctenochaetus flavicauda",NA,NA,"tropical"
"Ctenochaetus hawaiiensis",25,27,"tropical"
"Ctenochaetus marginatus",NA,NA,"tropical"
"Ctenochaetus striatus",24,28,"tropical"
"Ctenochaetus strigosus",21,27,"tropical"
"Ctenochaetus tominiensis",24,27,"tropical"
"Ctenochaetus truncatus",NA,NA,"tropical"
"Naso annulatus",24,28,"tropical"
"Naso brachycentron",25,28,"tropical"
"Naso brevirostris",24,28,"tropical"
"Naso caeruleacauda",NA,NA,"tropical"
"Naso caesius",NA,NA,"tropical"
"Naso elegans",NA,NA,"tropical"
"Naso fageni",NA,NA,"tropical"
"Naso hexacanthus",25,28,"tropical"
"Naso lituratus",24,26,"tropical"
"Naso lopezi",NA,NA,"tropical"
"Naso maculatus",NA,NA,"tropical"
"Naso mcdadei",NA,NA,"tropical"
"Naso minor",NA,NA,"tropical"
"Naso reticulatus",NA,NA,"temperate"
"Naso tergus",NA,NA,"subtropical"
"Naso thynnoides",22,24,"tropical"
"Naso tonganus",NA,NA,"tropical"
"Naso tuberosus",NA,NA,"tropical"
"Naso unicornis",26,29,"tropical"
"Naso vlamingii",24,28,"tropical"
"Paracanthurus hepatus",24,26,"tropical"
"Prionurus biafraensis",NA,NA,"tropical"
"Prionurus chrysurus",NA,NA,"tropical"
"Prionurus laticlavius",NA,NA,"tropical"
"Prionurus maculatus",20,24,"subtropical"
"Prionurus microlepidotus",15,20,"subtropical"
"Prionurus punctatus",NA,NA,"tropical"
"Prionurus scalprum",24,28,"subtropical"
"Zebrasoma desjardinii",NA,NA,"tropical"
"Zebrasoma flavescens",24,28,"tropical"
"Zebrasoma gemmatum",24,28,"subtropical"
"Zebrasoma rostratum",23,28,"tropical"
"Zebrasoma scopas",25,28,"tropical"
"Zebrasoma velifer",24,28,"tropical"
"Zebrasoma xanthurum",24,28,"tropical"
"Acestrorhynchus abbreviatus",NA,NA,"tropical"
"Acestrorhynchus altus",22,26,"tropical"
"Acestrorhynchus britskii",NA,NA,"tropical"
"Acestrorhynchus falcatus",NA,NA,"tropical"
"Acestrorhynchus falcirostris",24,28,"tropical"
"Acestrorhynchus grandoculis",NA,NA,"tropical"
"Acestrorhynchus heterolepis",NA,NA,"tropical"
"Acestrorhynchus isalineae",NA,NA,"tropical"
"Acestrorhynchus lacustris",NA,NA,"tropical"
"Acestrorhynchus maculipinna",NA,NA,"tropical"
"Acestrorhynchus microlepis",18,28,"tropical"
"Acestrorhynchus minimus",NA,NA,"tropical"
"Acestrorhynchus nasutus",NA,NA,"tropical"
"Acestrorhynchus pantaneiro",NA,NA,"tropical"
"Gilbertolus alatus",NA,NA,"tropical"
"Gilbertolus atratoensis",NA,NA,"tropical"
"Gilbertolus maracaiboensis",NA,NA,"tropical"
"Gnathocharax steindachneri",23,27,"tropical"
"Heterocharax leptogrammus",NA,NA,"tropical"
"Heterocharax macrolepis",NA,NA,"tropical"
"Heterocharax virgulatus",NA,NA,"tropical"
"Hoplocharax goethei",NA,NA,"tropical"
"Lonchogenys ilisha",NA,NA,"tropical"
"Roestes itupiranga",NA,NA,"tropical"
"Roestes molossus",NA,NA,"tropical"
"Roestes ogilviei",NA,NA,"tropical"
"Achirus achirus",25,28,"tropical"
"Achirus declivis",NA,NA,"tropical"
"Achirus klunzingeri",NA,NA,"tropical"
"Achirus lineatus",NA,NA,"tropical"
"Achirus mazatlanus",NA,NA,"tropical"
"Achirus mucuri",NA,NA,"tropical"
"Achirus novoae",NA,NA,"tropical"
"Achirus scutum",NA,NA,"tropical"
"Achirus zebrinus",NA,NA,"tropical"
"Apionichthys dumerili",NA,NA,"tropical"
"Apionichthys finis",NA,NA,"tropical"
"Apionichthys menezesi",NA,NA,"tropical"
"Apionichthys nattereri",NA,NA,"tropical"
"Apionichthys rosai",NA,NA,"tropical"
"Apionichthys sauli",NA,NA,"tropical"
"Apionichthys seripierriae",NA,NA,"tropical"
"Catathyridium garmani",NA,NA,"subtropical"
"Catathyridium grandirivi",NA,NA,"tropical"
"Catathyridium jenynsii",NA,NA,"subtropical"
"Catathyridium lorentzii",NA,NA,"tropical"
"Gymnachirus melas",NA,NA,"subtropical"
"Gymnachirus nudus",NA,NA,"tropical"
"Gymnachirus texae",NA,NA,"subtropical"
"Hypoclinemus mentalis",NA,NA,"tropical"
"Pnictes asphyxiatus",NA,NA,"tropical"
"Trinectes fimbriatus",NA,NA,"tropical"
"Trinectes fluviatilis",NA,NA,"tropical"
"Trinectes fonsecensis",26,30,"tropical"
"Trinectes hubbsbollinger",NA,NA,"tropical"
"Trinectes inscriptus",NA,NA,"tropical"
"Trinectes maculatus",5,22,"subtropical"
"Trinectes microphthalmus",NA,NA,"tropical"
"Trinectes opercularis",NA,NA,"tropical"
"Trinectes paulistanus",NA,NA,"tropical"
"Trinectes xanthurus",NA,NA,"tropical"
"Achiropsetta tricholepis",NA,NA,"temperate"
"Mancopsetta maculata",NA,NA,"temperate"
"Neoachiropsetta milfordi",NA,NA,"deep-water"
"Pseudomancopsetta andriashevi",NA,NA,"temperate"
"Acipenser baerii",0.8,19.39,"temperate"
"Acipenser baerii",NA,NA,"boreal"
"Acipenser brevirostrum",NA,NA,"subtropical"
"Acipenser dabryanus",NA,NA,"temperate"
"Acipenser fulvescens",NA,NA,"temperate"
"Acipenser fulvescens",NA,NA,"temperate"
"Acipenser gueldenstaedtii",10,20,"temperate"
"Acipenser gueldenstaedtii",NA,NA,"temperate"
"Acipenser gueldenstaedtii",NA,NA,"temperate"
"Acipenser gueldenstaedtii",NA,NA,"temperate"
"Acipenser gueldenstaedtii",NA,NA,"temperate"
"Acipenser medirostris",10,20,"temperate"
"Acipenser mikadoi",NA,NA,"temperate"
"Acipenser naccarii",NA,NA,"temperate"
"Acipenser nudiventris",10,20,"temperate"
"Acipenser nudiventris",NA,NA,"temperate"
"Acipenser nudiventris",NA,NA,"temperate"
"Acipenser nudiventris",NA,NA,"temperate"
"Acipenser nudiventris",NA,NA,"temperate"
"Acipenser oxyrinchus",NA,NA,"subtropical"
"Acipenser oxyrinchus",NA,NA,"subtropical"
"Acipenser persicus",NA,NA,"temperate"
"Acipenser persicus",NA,NA,"temperate"
"Acipenser persicus",NA,NA,"temperate"
"Acipenser ruthenus",NA,NA,"temperate"
"Acipenser ruthenus",NA,NA,"temperate"
"Acipenser ruthenus",NA,NA,"temperate"
"Acipenser schrenckii",10,20,"temperate"
"Acipenser sinensis",NA,NA,"temperate"
"Acipenser stellatus",10,20,"temperate"
"Acipenser stellatus",NA,NA,"temperate"
"Acipenser stellatus",NA,NA,"temperate"
"Acipenser stellatus",NA,NA,"temperate"
"Acipenser sturio",10,18,"temperate"
"Acipenser transmontanus",0,23.2999992370605,"subtropical"
"Acipenser transmontanus",NA,NA,"temperate"
"Acipenser transmontanus",NA,NA,"temperate"
"Acipenser transmontanus",NA,NA,"temperate"
"Acipenser transmontanus",NA,NA,"temperate"
"Acipenser transmontanus",NA,NA,"temperate"
"Huso dauricus",10,20,"temperate"
"Huso huso",10,20,"temperate"
"Huso huso",NA,NA,"temperate"
"Huso huso",NA,NA,"temperate"
"Huso huso",NA,NA,"temperate"
"Huso huso",NA,NA,"temperate"
"Pseudoscaphirhynchus fedtschenkoi",NA,NA,"temperate"
"Pseudoscaphirhynchus hermanni",NA,NA,"temperate"
"Pseudoscaphirhynchus kaufmanni",10,20,"temperate"
"Scaphirhynchus albus",NA,NA,"subtropical"
"Scaphirhynchus platorynchus",10,20,"temperate"
"Scaphirhynchus suttkusi",NA,NA,"subtropical"
"Acropoma argentistigma",NA,NA,"tropical"
"Acropoma boholensis",NA,NA,"tropical"
"Acropoma hanedai",NA,NA,"temperate"
"Acropoma japonicum",NA,NA,"deep-water"
"Acropoma lecorneti",NA,NA,"deep-water"
"Acropoma profundum",NA,NA,"deep-water"
"Apogonops anomalus",NA,NA,"subtropical"
"Doederleinia berycoides",NA,NA,"tropical"
"Malakichthys barbatus",NA,NA,"temperate"
"Malakichthys elegans",NA,NA,"deep-water"
"Malakichthys griseus",NA,NA,"tropical"
"Malakichthys levis",NA,NA,"tropical"
"Malakichthys mochizuki",NA,NA,"deep-water"
"Malakichthys similis",NA,NA,"tropical"
"Malakichthys wakiyae",NA,NA,"temperate"
"Neoscombrops atlanticus",NA,NA,"tropical"
"Neoscombrops cynodon",NA,NA,"deep-water"
"Neoscombrops pacificus",NA,NA,"tropical"
"Synagrops adeni",NA,NA,"deep-water"
"Synagrops analis",NA,NA,"tropical"
"Synagrops argyreus",NA,NA,"tropical"
"Synagrops bellus",NA,NA,"deep-water"
"Synagrops japonicus",NA,NA,"deep-water"
"Synagrops malayanus",NA,NA,"tropical"
"Synagrops microlepis",NA,NA,"deep-water"
"Synagrops philippinensis",NA,NA,"deep-water"
"Synagrops pseudomicrolepis",NA,NA,"deep-water"
"Synagrops serratospinosus",NA,NA,"tropical"
"Synagrops spinosus",NA,NA,"deep-water"
"Synagrops trispinosus",NA,NA,"deep-water"
"Verilus sordidus",NA,NA,"tropical"
"Adrianichthys kruyti",22,25,"tropical"
"Adrianichthys oophorus",24,29,"tropical"
"Adrianichthys poptae",24,29,"tropical"
"Adrianichthys roseni",NA,NA,"tropical"
"Oryzias asinua",26,NA,"tropical"
"Oryzias bonneorum",NA,NA,"tropical"
"Oryzias carnaticus",NA,NA,"tropical"
"Oryzias celebensis",22,30,"tropical"
"Oryzias curvinotus",NA,NA,"tropical"
"Oryzias dancena",NA,NA,"tropical"
"Oryzias eversi",21.5,NA,"tropical"
"Oryzias hadiatyae",NA,NA,"tropical"
"Oryzias haugiangensis",NA,NA,"tropical"
"Oryzias hubbsi",NA,NA,"tropical"
"Oryzias javanicus",22,25,"tropical"
"Oryzias latipes",18,24,"subtropical"
"Oryzias luzonensis",NA,NA,"tropical"
"Oryzias marmoratus",22,25,"tropical"
"Oryzias matanensis",22,25,"tropical"
"Oryzias mekongensis",NA,NA,"tropical"
"Oryzias melastigma",NA,NA,"tropical"
"Oryzias minutillus",22,25,"tropical"
"Oryzias nebulosus",NA,NA,"tropical"
"Oryzias nigrimas",22,25,"tropical"
"Oryzias orthognathus",22,25,"tropical"
"Oryzias pectoralis",NA,NA,"tropical"
"Oryzias profundicola",22,25,"tropical"
"Oryzias sakaizumii",NA,NA,"tropical"
"Oryzias sarasinorum",24,29,"tropical"
"Oryzias setnai",24,29,"tropical"
"Oryzias sinensis",NA,NA,"tropical"
"Oryzias songkhramensis",NA,NA,"tropical"
"Oryzias timorensis",NA,NA,"tropical"
"Oryzias uwai",NA,NA,"tropical"
"Oryzias wolasi",24,26,"tropical"
"Oryzias woworae",NA,NA,"tropical"
"Agonomalus jordani",NA,NA,"temperate"
"Agonomalus mozinoi",NA,NA,"temperate"
"Agonomalus proboscidalis",NA,NA,"polar"
"Agonopsis asperoculis",NA,NA,"tropical"
"Agonopsis chiloensis",NA,NA,"subtropical"
"Agonopsis sterletus",NA,NA,"subtropical"
"Agonopsis vulsa",NA,NA,"temperate"
"Agonus cataphractus",4,8,"temperate"
"Anoplagonus inermis",NA,NA,"temperate"
"Anoplagonus occidentalis",NA,NA,"temperate"
"Aspidophoroides monopterygius",-2,9.6,"temperate"
"Aspidophoroides olrikii",NA,NA,"polar"
"Bathyagonus alascanus",NA,NA,"temperate"
"Bathyagonus infraspinatus",NA,NA,"temperate"
"Bathyagonus nigripinnis",0.5,4,"boreal"
"Bathyagonus pentacanthus",NA,NA,"subtropical"
"Bothragonus occidentalis",NA,NA,"temperate"
"Bothragonus swanii",NA,NA,"temperate"
"Brachyopsis segaliensis",NA,NA,"polar"
"Chesnonia verrucosa",NA,NA,"temperate"
"Freemanichthys thompsoni",NA,NA,"temperate"
"Hypsagonus corniger",NA,NA,"polar"
"Hypsagonus quadricornis",0.9,8.8,"temperate"
"Leptagonus decagonus",NA,NA,"polar"
"Occella dodecaedron",NA,NA,"temperate"
"Occella iburia",NA,NA,"temperate"
"Occella kasawae",NA,NA,"temperate"
"Occella kuronumai",NA,NA,"temperate"
"Odontopyxis trispinosa",NA,NA,"subtropical"
"Pallasina barbata",NA,NA,"temperate"
"Percis japonica",NA,NA,"deep-water"
"Percis matsuii",NA,NA,"deep-water"
"Podothecus accipenserinus",NA,NA,"temperate"
"Podothecus hamlini",NA,NA,"temperate"
"Podothecus sachi",NA,NA,"temperate"
"Podothecus sturioides",3,12,"polar"
"Podothecus veternus",NA,NA,"polar"
"Sarritor frenatus",NA,NA,"temperate"
"Sarritor knipowitschi",NA,NA,"temperate"
"Sarritor leptorhynchus",NA,NA,"deep-water"
"Stellerina xyosterna",NA,NA,"subtropical"
"Tilesina gibbosa",3.7,13.3,"temperate"
"Xeneretmus latifrons",NA,NA,"deep-water"
"Xeneretmus leiops",NA,NA,"temperate"
"Xeneretmus ritteri",NA,NA,"deep-water"
"Xeneretmus triacanthus",NA,NA,"deep-water"
"Acrochordonichthys chamaeleon",NA,NA,"tropical"
"Acrochordonichthys falcifer",NA,NA,"tropical"
"Acrochordonichthys guttatus",NA,NA,"tropical"
"Acrochordonichthys gyrinus",NA,NA,"tropical"
"Acrochordonichthys ischnosoma",NA,NA,"tropical"
"Acrochordonichthys mahakamensis",NA,NA,"tropical"
"Acrochordonichthys pachyderma",NA,NA,"tropical"
"Acrochordonichthys rugosus",NA,NA,"tropical"
"Acrochordonichthys septentrionalis",NA,NA,"tropical"
"Acrochordonichthys strigosus",NA,NA,"tropical"
"Akysis bilustris",NA,NA,"tropical"
"Akysis brachybarbatus",NA,NA,"subtropical"
"Akysis clavulus",NA,NA,"tropical"
"Akysis clinatus",NA,NA,"tropical"
"Akysis ephippifer",NA,NA,"tropical"
"Akysis fontaneus",NA,NA,"tropical"
"Akysis fuliginatus",NA,NA,"tropical"
"Akysis galeatus",NA,NA,"tropical"
"Akysis hendricksoni",NA,NA,"tropical"
"Akysis heterurus",NA,NA,"tropical"
"Akysis longifilis",NA,NA,"tropical"
"Akysis maculipinnis",NA,NA,"tropical"
"Akysis manipurensis",NA,NA,"tropical"
"Akysis microps",NA,NA,"tropical"
"Akysis pictus",NA,NA,"tropical"
"Akysis portellus",NA,NA,"tropical"
"Akysis prashadi",NA,NA,"tropical"
"Akysis pulvinatus",29.3,NA,"tropical"
"Akysis recavus",NA,NA,"tropical"
"Akysis scorteus",NA,NA,"tropical"
"Akysis variegatus",NA,NA,"tropical"
"Akysis varius",NA,NA,"tropical"
"Akysis vespa",NA,NA,"tropical"
"Akysis vespertinus",NA,NA,"tropical"
"Breitensteinia cessator",NA,NA,"tropical"
"Breitensteinia hypselurus",NA,NA,"tropical"
"Breitensteinia insignis",NA,NA,"tropical"
"Parakysis anomalopteryx",NA,NA,"tropical"
"Parakysis grandis",NA,NA,"tropical"
"Parakysis hystriculus",NA,NA,"tropical"
"Parakysis longirostris",NA,NA,"tropical"
"Parakysis notialis",NA,NA,"tropical"
"Parakysis verrucosus",NA,NA,"tropical"
"Pseudobagarius alfredi",NA,NA,"tropical"
"Pseudobagarius baramensis",NA,NA,"tropical"
"Pseudobagarius filifer",NA,NA,"tropical"
"Pseudobagarius fuscus",NA,NA,"tropical"
"Pseudobagarius hardmani",NA,NA,"tropical"
"Pseudobagarius inermis",NA,NA,"tropical"
"Pseudobagarius leucorhynchus",NA,NA,"tropical"
"Pseudobagarius macronemus",NA,NA,"tropical"
"Pseudobagarius meridionalis",NA,NA,"tropical"
"Pseudobagarius nitidus",NA,NA,"tropical"
"Pseudobagarius pseudobagarius",NA,NA,"tropical"
"Pseudobagarius similis",NA,NA,"tropical"
"Pseudobagarius sinensis",NA,NA,"subtropical"
"Pseudobagarius subtilis",NA,NA,"tropical"
"Albula argentea",NA,NA,"tropical"
"Albula esuncula",NA,NA,"tropical"
"Albula gilberti",NA,NA,"tropical"
"Albula glossodonta",NA,NA,"tropical"
"Albula goreensis",NA,NA,"tropical"
"Albula koreana",NA,NA,"tropical"
"Albula nemoptera",NA,NA,"tropical"
"Albula oligolepis",NA,NA,"tropical"
"Albula pacifica",NA,NA,"tropical"
"Albula virgata",NA,NA,"tropical"
"Albula vulpes",NA,NA,"subtropical"
"Pterothrissus belloci",NA,NA,"deep-water"
"Pterothrissus gissu",NA,NA,"temperate"
"Alepisaurus brevirostris",NA,NA,"deep-water"
"Alepisaurus ferox",NA,NA,"deep-water"
"Alepocephalus agassizii",NA,NA,"deep-water"
"Alepocephalus andersoni",NA,NA,"deep-water"
"Alepocephalus antipodianus",NA,NA,"deep-water"
"Alepocephalus asperifrons",NA,NA,"deep-water"
"Alepocephalus australis",NA,NA,"deep-water"
"Alepocephalus bairdii",NA,NA,"deep-water"
"Alepocephalus bicolor",NA,NA,"deep-water"
"Alepocephalus blanfordii",NA,NA,"deep-water"
"Alepocephalus dentifer",NA,NA,"deep-water"
"Alepocephalus fundulus",NA,NA,"deep-water"
"Alepocephalus longiceps",NA,NA,"deep-water"
"Alepocephalus longirostris",NA,NA,"deep-water"
"Alepocephalus melas",NA,NA,"deep-water"
"Alepocephalus owstoni",NA,NA,"deep-water"
"Alepocephalus planifrons",NA,NA,"deep-water"
"Alepocephalus productus",NA,NA,"deep-water"
"Alepocephalus rostratus",NA,NA,"deep-water"
"Alepocephalus tenebrosus",NA,NA,"deep-water"
"Alepocephalus triangularis",NA,NA,"deep-water"
"Alepocephalus umbriceps",NA,NA,"deep-water"
"Asquamiceps caeruleus",NA,NA,"deep-water"
"Asquamiceps hjorti",NA,NA,"deep-water"
"Asquamiceps longmani",NA,NA,"temperate"
"Asquamiceps velaris",NA,NA,"deep-water"
"Aulastomatomorpha phospherops",NA,NA,"deep-water"
"Bajacalifornia aequatoris",NA,NA,"deep-water"
"Bajacalifornia arcylepis",NA,NA,"deep-water"
"Bajacalifornia burragei",NA,NA,"deep-water"
"Bajacalifornia calcarata",NA,NA,"deep-water"
"Bajacalifornia erimoensis",NA,NA,"deep-water"
"Bajacalifornia megalops",NA,NA,"deep-water"
"Bajacalifornia microstoma",NA,NA,"deep-water"
"Bathylaco macrophthalmus",NA,NA,"deep-water"
"Bathylaco nielseni",NA,NA,"deep-water"
"Bathylaco nigricans",NA,NA,"deep-water"
"Bathyprion danae",NA,NA,"deep-water"
"Bathytroctes breviceps",NA,NA,"deep-water"
"Bathytroctes elegans",NA,NA,"deep-water"
"Bathytroctes inspector",NA,NA,"deep-water"
"Bathytroctes macrognathus",NA,NA,"deep-water"
"Bathytroctes macrolepis",NA,NA,"deep-water"
"Bathytroctes michaelsarsi",NA,NA,"deep-water"
"Bathytroctes microlepis",NA,NA,"deep-water"
"Bathytroctes oligolepis",NA,NA,"deep-water"
"Bathytroctes pappenheimi",NA,NA,"deep-water"
"Bathytroctes squamosus",NA,NA,"deep-water"
"Bathytroctes zugmayeri",NA,NA,"deep-water"
"Conocara bertelseni",NA,NA,"deep-water"
"Conocara fiolenti",NA,NA,"deep-water"
"Conocara kreffti",NA,NA,"deep-water"
"Conocara macropterum",NA,NA,"deep-water"
"Conocara microlepis",NA,NA,"deep-water"
"Conocara murrayi",NA,NA,"deep-water"
"Conocara nigrum",NA,NA,"tropical"
"Conocara paxtoni",NA,NA,"deep-water"
"Conocara salmoneum",NA,NA,"deep-water"
"Conocara werneri",NA,NA,"deep-water"
"Einara edentula",NA,NA,"deep-water"
"Einara macrolepis",NA,NA,"deep-water"
"Herwigia kreffti",NA,NA,"deep-water"
"Leptoderma affinis",NA,NA,"deep-water"
"Leptoderma lubricum",NA,NA,"deep-water"
"Leptoderma macrophthalmum",NA,NA,"deep-water"
"Leptoderma macrops",NA,NA,"deep-water"
"Leptoderma retropinna",NA,NA,"deep-water"
"Microphotolepis multipunctata",NA,NA,"tropical"
"Microphotolepis schmidti",NA,NA,"deep-water"
"Mirognathus normani",NA,NA,"deep-water"
"Narcetes erimelas",NA,NA,"deep-water"
"Narcetes kamoharai",NA,NA,"subtropical"
"Narcetes lloydi",NA,NA,"deep-water"
"Narcetes stomias",NA,NA,"deep-water"
"Narcetes wonderi",NA,NA,"deep-water"
"Photostylus pycnopterus",NA,NA,"deep-water"
"Rinoctes nasutus",NA,NA,"deep-water"
"Rouleina attrita",2.7,3.3,"deep-water"
"Rouleina danae",NA,NA,"tropical"
"Rouleina eucla",NA,NA,"deep-water"
"Rouleina euryops",NA,NA,"deep-water"
"Rouleina guentheri",NA,NA,"deep-water"
"Rouleina livida",NA,NA,"deep-water"
"Rouleina maderensis",NA,NA,"deep-water"
"Rouleina nuda",NA,NA,"deep-water"
"Rouleina squamilatera",NA,NA,"deep-water"
"Rouleina watasei",NA,NA,"deep-water"
"Talismania antillarum",NA,NA,"deep-water"
"Talismania aphos",NA,NA,"deep-water"
"Talismania bifurcata",NA,NA,"deep-water"
"Talismania brachycephala",NA,NA,"subtropical"
"Talismania bussingi",NA,NA,"deep-water"
"Talismania filamentosa",NA,NA,"subtropical"
"Talismania homoptera",NA,NA,"deep-water"
"Talismania kotlyari",NA,NA,"subtropical"
"Talismania longifilis",NA,NA,"deep-water"
"Talismania mekistonema",NA,NA,"deep-water"
"Talismania okinawensis",NA,NA,"subtropical"
"Xenodermichthys copei",NA,NA,"deep-water"
"Xenodermichthys nodulosus",NA,NA,"tropical"
"Alestes ansorgii",NA,NA,"tropical"
"Alestes baremoze",15,35,"tropical"
"Alestes dentex",24,27,"tropical"
"Alestes inferus",NA,NA,"tropical"
"Alestes liebrechtsii",NA,NA,"tropical"
"Alestes macrophthalmus",NA,NA,"tropical"
"Alestes stuhlmannii",NA,NA,"tropical"
"Alestopetersius bifasciatus",NA,NA,"tropical"
"Alestopetersius brichardi",NA,NA,"tropical"
"Alestopetersius caudalis",22,26,"tropical"
"Alestopetersius compressus",NA,NA,"tropical"
"Alestopetersius conspectus",21,22.5,"tropical"
"Alestopetersius hilgendorfi",NA,NA,"tropical"
"Alestopetersius leopoldianus",NA,NA,"tropical"
"Alestopetersius nigropterus",NA,NA,"tropical"
"Alestopetersius smykalai",23,27,"tropical"
"Alestopetersius tumbensis",NA,NA,"tropical"
"Arnoldichthys spilopterus",23,28,"tropical"
"Bathyaethiops atercrinis",21,22.5,"tropical"
"Bathyaethiops breuseghemi",22,25,"tropical"
"Bathyaethiops caudomaculatus",23,27,"tropical"
"Bathyaethiops greeni",22,28,"tropical"
"Brachypetersius altus",24,27,"tropical"
"Brachypetersius cadwaladeri",NA,NA,"tropical"
"Brachypetersius gabonensis",NA,NA,"tropical"
"Brachypetersius huloti",22,25,"tropical"
"Brachypetersius notospilus",NA,NA,"tropical"
"Brachypetersius pseudonummifer",20,27,"tropical"
"Brycinus abeli",NA,NA,"tropical"
"Brycinus affinis",22,28,"tropical"
"Brycinus bartoni",NA,NA,"tropical"
"Brycinus batesii",NA,NA,"tropical"
"Brycinus bimaculatus",NA,NA,"tropical"
"Brycinus brevis",23,27,"tropical"
"Brycinus carmesinus",NA,NA,"tropical"
"Brycinus carolinae",NA,NA,"tropical"
"Brycinus comptus",NA,NA,"tropical"
"Brycinus derhami",NA,NA,"tropical"
"Brycinus ferox",NA,NA,"tropical"
"Brycinus fwaensis",NA,NA,"tropical"
"Brycinus grandisquamis",NA,NA,"tropical"
"Brycinus humilis",NA,NA,"tropical"
"Brycinus imberi",22,26,"tropical"
"Brycinus intermedius",22,28,"tropical"
"Brycinus jacksonii",NA,NA,"tropical"
"Brycinus kingsleyae",NA,NA,"tropical"
"Brycinus lateralis",NA,NA,"tropical"
"Brycinus leuciscus",22,27,"tropical"
"Brycinus longipinnis",22,26,"tropical"
"Brycinus luteus",NA,NA,"tropical"
"Brycinus macrolepidotus",22,28,"tropical"
"Brycinus minutus",NA,NA,"tropical"
"Brycinus nigricauda",NA,NA,"tropical"
"Brycinus nurse",23,27,"tropical"
"Brycinus opisthotaenia",NA,NA,"tropical"
"Brycinus peringueyi",NA,NA,"tropical"
"Brycinus poptae",NA,NA,"tropical"
"Brycinus rhodopleura",NA,NA,"tropical"
"Brycinus sadleri",NA,NA,"tropical"
"Brycinus schoutedeni",22,27,"tropical"
"Brycinus taeniurus",NA,NA,"tropical"
"Brycinus tessmanni",NA,NA,"tropical"
"Brycinus tholloni",NA,NA,"tropical"
"Bryconaethiops boulengeri",22,27,"tropical"
"Bryconaethiops macrops",23,26,"tropical"
"Bryconaethiops microstoma",24,28,"tropical"
"Bryconaethiops quinquesquamae",NA,NA,"tropical"
"Bryconaethiops yseuxi",NA,NA,"tropical"
"Clupeocharax schoutedeni",22,27,"tropical"
"Hemigrammopetersius barnardi",24,27,"tropical"
"Hemigrammopetersius pulcher",22,25,"tropical"
"Hydrocynus brevis",NA,NA,"tropical"
"Hydrocynus forskahlii",NA,NA,"tropical"
"Hydrocynus goliath",23,26,"tropical"
