"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Gobio soldatovi",39537,3,4,NA
"Gobiobotia pappenheimi",39787,NA,NA,2
"Hampala macrolepidota",5032,NA,NA,NA
"Hampala macrolepidota",5032,NA,NA,NA
"Hemibarbus labeo",15536,4,5,NA
"Hemibarbus labeo",15536,3,NA,NA
"Hemibarbus labeo",15536,4,NA,NA
"Hemibarbus labeo",15536,4,5,NA
"Hemibarbus maculatus",4976,NA,NA,3
"Hemibarbus maculatus",4976,NA,NA,5
"Hemiculter leucisculus",4979,3,NA,NA
"Hemiculter leucisculus",4979,NA,NA,2
"Hybognathus hankinsoni",2969,NA,NA,1
"Hybognathus hankinsoni",2969,NA,NA,2
"Hybognathus regius",2973,NA,NA,2
"Hybognathus regius",2973,NA,2,NA
"Hypophthalmichthys molitrix",288,3,4,NA
"Hypophthalmichthys molitrix",288,4,6,NA
"Hypophthalmichthys molitrix",288,2,3,NA
"Hypophthalmichthys molitrix",288,5,7,NA
"Hypophthalmichthys nobilis",289,4,5,NA
"Hypophthalmichthys nobilis",289,3,4,NA
"Hypophthalmichthys nobilis",289,5,6,NA
"Iberochondrostoma lemmingii",10263,1,NA,NA
"Iberochondrostoma lemmingii",10263,1,NA,NA
"Labeo altivelis",8050,NA,NA,NA
"Labeo altivelis",8050,NA,NA,NA
"Labeo calbasu",5390,NA,NA,NA
"Labeo coubie",2628,NA,NA,NA
"Labeo coubie",2628,NA,NA,NA
"Labeo coubie",2628,NA,NA,NA
"Labeo dussumieri",13729,NA,NA,NA
"Labeo dussumieri",13729,NA,NA,NA
"Labeo fimbriatus",10754,NA,NA,NA
"Labeo mesops",5670,NA,NA,NA
"Labeo niloticus",4824,NA,NA,NA
"Labeo niloticus",4824,NA,NA,NA
"Labeo parvus",2629,NA,NA,NA
"Labeo rohita",97,NA,NA,2.94
"Labeo rohita",97,NA,NA,2.7
"Labeo rohita",97,2,NA,NA
"Labeo senegalensis",2630,NA,NA,NA
"Labeo victorianus",11914,NA,NA,NA
"Labeo victorianus",11914,NA,NA,NA
"Labeobarbus johnstonii",5675,NA,NA,NA
"Labeobarbus kimberleyensis",4891,39.4,NA,9
"Labeobarbus kimberleyensis",4891,5,NA,6.4
"Ladislavia taczanowskii",39789,NA,NA,3
"Leucaspius delineatus",5006,1,1,1
"Leucaspius delineatus",5006,1,NA,NA
"Leuciscus aspius",5007,9,NA,NA
"Leuciscus aspius",5007,8,NA,NA
"Leuciscus aspius",5007,NA,NA,NA
"Leuciscus aspius",5007,3,4,NA
"Leuciscus aspius",5007,NA,NA,4
