"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Abyssocottus korotneffi",39735,5,NA,NA
"Cyphocottus megalops",40364,5,NA,NA
"Limnocottus pallidus",40378,5,NA,NA
"Acanthurus bahianus",6762,NA,NA,NA
"Acanthurus bahianus",6762,NA,NA,NA
"Acanthurus chirurgus",959,NA,NA,NA
"Acanthurus chirurgus",959,NA,NA,NA
"Acanthurus coeruleus",960,NA,NA,NA
"Acanthurus coeruleus",960,NA,NA,NA
"Acanthurus leucosternon",1274,NA,NA,NA
"Acanthurus lineatus",1275,NA,NA,4
"Acanthurus nigrofuscus",4963,NA,NA,2
"Acanthurus nigrofuscus",4963,NA,NA,2
"Acanthurus triostegus",1277,1,2,NA
"Acanthurus triostegus",1277,NA,NA,NA
"Ctenochaetus strigosus",6329,NA,NA,NA
"Naso hexacanthus",1280,NA,NA,7
"Naso tuberosus",6337,NA,NA,4
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Acestrorhynchus lacustris",42674,NA,NA,NA
"Catathyridium jenynsii",18653,NA,NA,NA
"Catathyridium jenynsii",18653,NA,NA,NA
"Trinectes maculatus",4456,NA,NA,1
"Trinectes maculatus",4456,NA,NA,2
"Trinectes maculatus",4456,NA,NA,2
"Mancopsetta maculata",7565,2,3,NA
"Acipenser baerii",4901,16,20,17
"Acipenser baerii",4901,9,15,11
"Acipenser baerii",4901,9,11,NA
"Acipenser baerii",4901,17,23,NA
"Acipenser baerii",4901,12,14,NA
"Acipenser baerii",4901,17,18,NA
"Acipenser baerii",4901,NA,NA,12
"Acipenser baerii",4901,NA,NA,16
"Acipenser baerii",4901,7,9,NA
"Acipenser baerii",4901,20,22,NA
"Acipenser baerii",4901,26,34,NA
"Acipenser baerii",4901,11,13,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,16,20,NA
"Acipenser baerii",4901,15,18,NA
"Acipenser baerii",4901,9,12,NA
"Acipenser baerii",4901,NA,NA,12
"Acipenser baerii",4901,NA,NA,16
"Acipenser baerii",4901,NA,NA,10
"Acipenser baerii",4901,NA,NA,18
"Acipenser baerii",4901,19,24,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,12,14,NA
"Acipenser baerii",4901,11,13,NA
"Acipenser baerii",4901,NA,NA,16
"Acipenser baerii",4901,NA,NA,4
"Acipenser baerii",4901,NA,NA,15
"Acipenser baerii",4901,17,29,NA
"Acipenser baerii",4901,9,10,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,15,18,NA
"Acipenser baerii",4901,9,10,NA
"Acipenser baerii",4901,NA,NA,8
"Acipenser baerii",4901,NA,NA,10
"Acipenser baerii",4901,NA,NA,10
"Acipenser baerii",4901,17,20,NA
"Acipenser baerii",4901,NA,NA,NA
"Acipenser baerii",4901,20,28,NA
"Acipenser baerii",4901,11,24,NA
"Acipenser baerii",20715,20,NA,NA
"Acipenser baerii",20715,15,NA,NA
"Acipenser brevirostrum",2786,NA,NA,NA
"Acipenser brevirostrum",2786,14,17,NA
"Acipenser brevirostrum",2786,NA,NA,NA
"Acipenser brevirostrum",2786,6,7,NA
"Acipenser brevirostrum",2786,3,5,NA
"Acipenser dabryanus",9059,8,10,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,NA
"Acipenser fulvescens",2787,NA,NA,26
"Acipenser fulvescens",2787,20,NA,NA
"Acipenser fulvescens",2787,16,NA,NA
"Acipenser gueldenstaedtii",4933,9,10,NA
"Acipenser gueldenstaedtii",4933,8,15,NA
"Acipenser gueldenstaedtii",4933,12,16,NA
"Acipenser gueldenstaedtii",4933,11,13,NA
"Acipenser medirostris",2788,NA,NA,NA
"Acipenser medirostris",2788,NA,NA,NA
"Acipenser naccarii",2698,8,12,NA
"Acipenser naccarii",2698,6,8,NA
"Acipenser nudiventris",2699,NA,NA,NA
"Acipenser nudiventris",2699,12,NA,NA
"Acipenser nudiventris",2699,6,NA,NA
"Acipenser nudiventris",2699,12,22,NA
"Acipenser nudiventris",2699,6,15,NA
"Acipenser oxyrinchus",2789,20,30,NA
"Acipenser oxyrinchus",2789,27,28,NA
"Acipenser oxyrinchus",2789,8,12,NA
"Acipenser oxyrinchus",2789,11,20,NA
"Acipenser oxyrinchus",2789,22,34,NA
"Acipenser oxyrinchus",2789,7,9,NA
"Acipenser oxyrinchus",2789,7,19,NA
"Acipenser oxyrinchus",2789,27,28,NA
"Acipenser oxyrinchus",2789,7,12,NA
"Acipenser persicus",10086,12,18,NA
"Acipenser persicus",10086,8,15,NA
"Acipenser ruthenus",4791,5,9,7
"Acipenser ruthenus",4791,4,5,NA
"Acipenser ruthenus",4791,5,7,NA
"Acipenser ruthenus",4791,3,5,NA
"Acipenser ruthenus",4791,4,5,NA
"Acipenser ruthenus",4791,3,4,NA
"Acipenser ruthenus",4791,6,9,NA
"Acipenser ruthenus",4791,5,8,NA
"Acipenser ruthenus",4791,3,5,NA
"Acipenser schrenckii",6399,9,10,NA
"Acipenser schrenckii",6399,NA,NA,NA
"Acipenser schrenckii",6399,11,14,NA
"Acipenser schrenckii",6399,8,10,NA
"Acipenser schrenckii",6399,9,10,NA
"Acipenser schrenckii",6399,10,14,11
"Acipenser schrenckii",6399,7,12,NA
"Acipenser schrenckii",6399,9,10,NA
"Acipenser schrenckii",6399,7,8,NA
"Acipenser sinensis",9084,14,26,NA
"Acipenser sinensis",9084,8,18,NA
"Acipenser stellatus",2260,7,14,NA
"Acipenser stellatus",2260,8,10,NA
"Acipenser stellatus",2260,5,7,NA
"Acipenser stellatus",2260,8,14,NA
"Acipenser stellatus",2260,6,12,NA
"Acipenser sturio",2261,8,14,NA
"Acipenser sturio",2261,14,NA,NA
"Acipenser sturio",2261,7,9,NA
"Acipenser sturio",2261,11,NA,NA
"Acipenser sturio",2261,8,20,NA
"Acipenser sturio",2261,7,15,NA
"Acipenser sturio",2261,8,14,11
"Acipenser sturio",2261,13,16,NA
"Acipenser sturio",2261,8,12,NA
"Acipenser sturio",2261,8,14,NA
"Acipenser sturio",2261,7,11,NA
"Acipenser sturio",2261,11,18,NA
"Acipenser sturio",2261,9,13,NA
"Acipenser transmontanus",2790,NA,NA,NA
"Acipenser transmontanus",2790,11,34,NA
"Acipenser transmontanus",2790,11,22,NA
"Acipenser transmontanus",2790,NA,NA,NA
"Huso dauricus",4820,17,23,NA
"Huso dauricus",4820,14,21,NA
"Huso dauricus",4820,11,16,NA
"Huso dauricus",4820,16,NA,NA
"Huso dauricus",4820,8,15,NA
"Huso dauricus",4820,12,15,NA
"Huso dauricus",4820,17,23,NA
"Huso dauricus",4820,14,21,NA
"Huso huso",2262,13,22,NA
"Huso huso",2262,10,16,NA
"Huso huso",2262,14,20,NA
"Huso huso",2262,10,16,NA
"Pseudoscaphirhynchus kaufmanni",4821,6,7,NA
"Scaphirhynchus albus",2791,15,NA,NA
"Scaphirhynchus albus",2791,5,7,NA
"Scaphirhynchus albus",2791,3,NA,NA
"Scaphirhynchus platorynchus",2792,5,7,NA
"Oryzias sinensis",43779,0.25,NA,NA
"Agonus cataphractus",46,1,2,NA
"Agonus cataphractus",46,3,4,NA
"Aspidophoroides monopterygius",4353,4.4,5.1,4.7
"Podothecus sturioides",42094,3,4,NA
"Albula vulpes",242,NA,NA,1
"Albula vulpes",242,NA,NA,4.2
"Albula vulpes",242,2.67,NA,NA
"Albula vulpes",242,NA,NA,3.6
"Albula vulpes",242,2.67,NA,NA
"Alepocephalus bairdii",244,NA,NA,NA
"Alepocephalus rostratus",5309,NA,NA,NA
"Alepocephalus rostratus",5309,NA,NA,NA
"Alepocephalus rostratus",5309,NA,NA,NA
"Rouleina livida",47639,NA,NA,NA
"Rouleina livida",47639,NA,NA,NA
"Alestes baremoze",2599,NA,NA,2
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,2.5
"Alestes baremoze",2599,NA,NA,3
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes baremoze",2599,NA,NA,NA
"Alestes dentex",5469,NA,NA,NA
"Alestes dentex",5469,NA,NA,NA
"Alestes dentex",5469,NA,NA,2
"Brycinus imberi",5478,NA,NA,NA
"Brycinus imberi",5478,NA,NA,NA
"Brycinus imberi",5478,NA,NA,NA
"Brycinus leuciscus",5471,NA,NA,NA
"Brycinus longipinnis",5474,NA,NA,NA
"Brycinus macrolepidotus",5480,NA,NA,NA
"Brycinus macrolepidotus",5480,NA,NA,NA
"Brycinus macrolepidotus",5480,NA,NA,NA
"Brycinus nurse",5475,NA,NA,NA
"Brycinus nurse",5475,NA,NA,NA
"Brycinus nurse",5475,NA,NA,1
"Brycinus nurse",5475,NA,NA,1
"Brycinus nurse",5475,NA,NA,NA
"Hydrocynus forskahlii",4694,NA,NA,NA
"Hydrocynus forskahlii",4694,NA,NA,NA
"Hydrocynus forskahlii",4694,NA,NA,NA
"Hydrocynus forskahlii",4694,NA,NA,NA
"Hydrocynus forskahlii",4694,NA,NA,NA
"Hydrocynus vittatus",4677,NA,NA,NA
"Hydrocynus vittatus",4677,NA,NA,NA
"Hydrocynus vittatus",4677,NA,NA,NA
"Micralestes acutidens",2596,NA,NA,NA
"Alopias pelagicus",6200,8,9.2,NA
"Alopias pelagicus",6200,7,8,NA
"Alopias pelagicus",6200,NA,NA,NA
"Alopias pelagicus",6200,NA,NA,NA
"Alopias superciliosus",2730,NA,NA,NA
"Alopias superciliosus",2730,NA,NA,NA
"Alopias superciliosus",2730,NA,NA,NA
"Alopias superciliosus",2730,NA,NA,NA
"Alopias superciliosus",2730,8.4,14.6,NA
"Alopias superciliosus",2730,7,13,NA
"Alopias superciliosus",2730,NA,NA,NA
"Alopias superciliosus",2730,NA,NA,NA
"Alopias vulpinus",2731,NA,NA,NA
"Alopias vulpinus",2731,NA,NA,NA
"Alopias vulpinus",2731,7,NA,NA
"Alopias vulpinus",2731,5,NA,NA
"Alopias vulpinus",2731,NA,NA,NA
"Alopias vulpinus",2731,NA,NA,NA
"Alopias vulpinus",2731,NA,NA,5.3
"Alopias vulpinus",2731,NA,NA,4.8
"Ambassis agrammus",14512,1,NA,NA
"Ambassis ambassis",51267,NA,NA,NA
"Ambassis interrupta",5392,NA,NA,NA
"Ambassis macleayi",14514,1,NA,NA
"Ambassis natalensis",8327,NA,NA,NA
"Forbesichthys agassizii",3256,1,NA,NA
"Typhlichthys subterraneus",3259,2,NA,NA
"Amia calva",2796,3,5,NA
"Amia calva",2796,3,5,NA
"Amia calva",2796,4,5,NA
"Amia calva",2796,NA,NA,4
"Amia calva",2796,NA,NA,NA
"Ammodytes hexapterus",4018,2,3,NA
"Ammodytes hexapterus",4018,2,3,NA
"Ammodytes hexapterus",4018,2,3,NA
"Ammodytes hexapterus",4018,2,3,NA
"Ammodytes marinus",47,NA,NA,3
"Ammodytes marinus",47,2,3,NA
"Ammodytes marinus",47,2,3,NA
"Ammodytes marinus",47,2,3,NA
"Ammodytes marinus",47,2,3,NA
"Ammodytes marinus",47,1,2,NA
"Ammodytes marinus",47,2,3,2
"Ammodytes marinus",47,NA,NA,3.2
"Ammodytes marinus",47,NA,NA,3.2
"Ammodytes marinus",47,NA,NA,NA
"Ammodytes marinus",47,NA,NA,NA
"Ammodytes marinus",47,NA,NA,1.51
"Ammodytes tobianus",48,2,NA,NA
"Ammodytes tobianus",48,NA,NA,1
"Ammodytes tobianus",48,2,3,2
"Hyperoplus lanceolatus",1392,2,NA,NA
"Hyperoplus lanceolatus",1392,2,3,2
"Amphilius atesuensis",2642,NA,NA,NA
"Amphilius natalensis",8695,NA,NA,NA
"Zaireichthys lacustris",56474,NA,NA,NA
"Sandelia bainsii",10376,2,NA,NA
"Sandelia bainsii",10376,2,NA,NA
"Sandelia bainsii",10376,2,NA,NA
"Anableps anableps",7679,NA,NA,NA
"Jenynsia lineata",12284,NA,NA,1
"Sinobatis bulbicauda",53877,NA,NA,NA
"Anarhichas lupus",2695,6,7,NA
"Anarhichas minor",4007,NA,NA,7.5
"Anarhichas minor",4007,NA,NA,8.5
"Anarrhichthys ocellatus",4009,7,NA,NA
"Anguilla anguilla",45,NA,NA,NA
"Anguilla anguilla",45,15,18,NA
"Anguilla anguilla",45,9,13,11
"Anguilla anguilla",45,8,9,NA
"Anguilla anguilla",45,5,NA,NA
"Anguilla australis australis",311,10,30,NA
"Anguilla australis australis",311,8,12,NA
"Anguilla dieffenbachii",12204,22,NA,NA
"Anguilla dieffenbachii",12204,48,NA,NA
"Anguilla dieffenbachii",12204,33,NA,NA
"Anguilla dieffenbachii",12204,22,NA,NA
"Anguilla dieffenbachii",12204,32,NA,NA
"Anguilla dieffenbachii",12204,48,NA,NA
"Anguilla dieffenbachii",12204,26,NA,NA
"Anguilla dieffenbachii",12204,12,18,NA
"Anguilla dieffenbachii",12204,30,45,NA
"Anguilla dieffenbachii",12204,20,30,NA
"Anguilla dieffenbachii",12204,10,20,NA
"Anguilla dieffenbachii",12204,16,27,NA
"Anguilla dieffenbachii",12204,22,38,NA
"Anguilla dieffenbachii",12204,15,21,NA
"Anguilla reinhardtii",7816,10,30,NA
"Anguilla reinhardtii",7816,8,12,NA
"Anguilla rostrata",310,3,6,NA
"Anguilla rostrata",310,4,18,NA
"Anguilla rostrata",310,3,10,NA
"Anoplogaster cornuta",2504,NA,NA,NA
"Anoplopoma fimbria",528,NA,NA,5.1
"Anoplopoma fimbria",528,NA,NA,4.8
"Anoplopoma fimbria",528,NA,NA,NA
"Anoplopoma fimbria",528,NA,NA,6
"Anoplopoma fimbria",528,5,6,NA
"Anoplopoma fimbria",528,NA,NA,NA
"Anoplopoma fimbria",528,NA,NA,NA
"Erilepis zonifer",4227,NA,NA,NA
"Leporinus acutidens",38722,NA,NA,2
"Leporinus acutidens",38722,NA,NA,1
"Leporinus elongatus",44204,NA,NA,NA
"Leporinus elongatus",44204,NA,NA,NA
"Leporinus fasciatus",5591,NA,NA,NA
"Leporinus friderici",12659,2,NA,NA
"Leporinus friderici",12659,1,NA,NA
"Leporinus friderici",12659,NA,NA,NA
"Leporinus friderici",12659,NA,NA,NA
"Leporinus lacustris",43726,NA,NA,NA
"Leporinus lacustris",43726,NA,NA,NA
"Leporinus obtusidens",18627,NA,NA,NA
"Leporinus obtusidens",18627,NA,NA,NA
"Schizodon altoparanae",43788,NA,NA,NA
"Schizodon altoparanae",43788,NA,NA,NA
"Schizodon borellii",44184,NA,NA,NA
"Schizodon borellii",44184,NA,NA,NA
"Schizodon fasciatus",18628,NA,NA,NA
"Schizodon fasciatus",18628,NA,NA,NA
"Aplocheilus panchax",4980,0.33,0.42,NA
"Apogon imberbis",1888,NA,NA,1
"Apogon imberbis",1888,NA,NA,1
"Jaydia lineata",8544,NA,NA,1
"Jaydia lineata",8544,NA,NA,1
"Jaydia lineata",8544,NA,NA,1
"Ostorhinchus rubrimacula",48908,NA,NA,0.4
"Ostorhinchus rueppellii",14397,NA,NA,NA
"Pterapogon kauderni",14687,NA,NA,0.83
"Pterapogon kauderni",14687,NA,NA,1
"Sphaeramia orbicularis",5159,NA,NA,NA
"Sphaeramia orbicularis",5159,NA,NA,NA
"Apteronotus leptorhynchus",14944,1,NA,1
"Sternarchorhynchus kokraimoro",55682,NA,NA,NA
"Sternarchorhynchus kokraimoro",55682,NA,NA,NA
"Arapaima gigas",2272,5,NA,NA
"Arapaima gigas",2272,4,5,NA
"Arapaima gigas",2272,NA,NA,6
"Arapaima gigas",2272,NA,NA,NA
"Arapaima gigas",2272,NA,NA,NA
"Arapaima gigas",2272,NA,NA,NA
"Heterotis niloticus",2582,NA,NA,2
"Heterotis niloticus",2582,2,2.5,NA
"Heterotis niloticus",2582,NA,NA,NA
"Argentina silus",2896,6,7,NA
"Argentina silus",2896,8,9,NA
"Argentina silus",2896,5,6,NA
"Argentina silus",2896,NA,NA,8.7
"Argentina silus",2896,NA,NA,7
"Argentina silus",2896,NA,NA,6
"Argentina silus",2896,NA,NA,6
"Argentina silus",2896,NA,NA,7
"Argentina silus",2896,NA,NA,4
"Bathyraja albomaculata",42768,NA,NA,NA
"Bathyraja albomaculata",42768,NA,NA,NA
"Bathyraja aleutica",2751,9,10,NA
"Bathyraja aleutica",2751,8,9,NA
"Bathyraja maculata",44802,8,9,NA
"Bathyraja maculata",44802,NA,NA,8
"Bathyraja matsubarai",17928,6,8,NA
"Bathyraja matsubarai",17928,6,7,NA
"Bathyraja parmifera",2760,8,10,NA
"Bathyraja parmifera",2760,7,9,NA
"Bathyraja violacea",17926,5,6,NA
"Bathyraja violacea",17926,4,6,NA
"Irolita waitii",19134,NA,NA,NA
"Notoraja hirticauda",53943,NA,NA,NA
"Pavoraja alleni",19136,NA,NA,NA
"Pavoraja arenaria",54387,NA,NA,NA
"Pavoraja nitida",19138,NA,NA,NA
"Pavoraja pseudonitida",54390,NA,NA,NA
"Pavoraja umbrosa",54391,NA,NA,NA
"Psammobatis extenta",45090,NA,NA,NA
"Sympterygia bonapartii",44815,NA,NA,NA
"Sympterygia bonapartii",44815,NA,NA,NA
"Sympterygia bonapartii",44815,NA,NA,NA
"Sympterygia bonapartii",44815,NA,NA,NA
"Ariopsis felis",963,NA,NA,NA
"Arius latiscutatus",5162,NA,NA,NA
"Arius maculatus",1297,NA,NA,NA
"Bagre marinus",975,NA,NA,NA
"Brustiarius nox",13436,NA,NA,NA
"Brustiarius nox",13436,NA,NA,NA
"Brustiarius nox",13436,NA,NA,NA
"Brustiarius nox",13436,NA,NA,NA
"Brustiarius solidus",13430,NA,NA,NA
"Brustiarius solidus",13430,NA,NA,NA
"Galeichthys ater",6311,NA,NA,NA
"Galeichthys ater",6311,NA,NA,NA
"Galeichthys feliceps",302,NA,NA,NA
"Galeichthys feliceps",302,NA,NA,NA
"Genidens barbus",13941,NA,NA,NA
"Genidens barbus",13941,NA,NA,NA
"Genidens genidens",13934,NA,NA,NA
"Genidens genidens",13934,NA,NA,NA
"Neoarius coatesi",13429,NA,NA,NA
"Neoarius coatesi",13429,NA,NA,NA
"Neoarius utarus",13435,NA,NA,NA
"Neoarius utarus",13435,NA,NA,NA
"Neoarius velutinus",13426,NA,NA,NA
"Neoarius velutinus",13426,NA,NA,NA
"Netuma thalassina",10543,2,4,NA
"Netuma thalassina",10543,2,4,NA
"Netuma thalassina",10543,NA,NA,NA
"Sciades herzbergii",967,2,3,NA
"Sciades herzbergii",967,3,NA,NA
"Sciades parkeri",968,NA,NA,2
"Sciades proops",971,1.5,NA,NA
"Sciades sona",1311,NA,NA,2
"Ariomma bondi",977,NA,NA,NA
"Ariomma bondi",977,NA,NA,NA
"Ariomma bondi",977,NA,NA,NA
"Ariomma indicum",1318,NA,NA,NA
"Arripis georgianus",406,2,4,NA
"Arripis trutta",14356,4,NA,NA
"Arripis trutta",14356,NA,NA,4
"Arripis trutta",14356,NA,NA,4
"Arripis truttacea",14328,4,6,NA
"Arripis truttacea",14328,3,4,NA
"Bunocephalus coracoideus",12478,NA,NA,NA
"Bunocephalus coracoideus",12478,1.75,NA,NA
"Bunocephalus coracoideus",12478,1.75,NA,NA
"Astroblepus cyclopus",41502,NA,NA,NA
"Atherina boyeri",1892,NA,NA,1
"Atherina boyeri",1892,1,NA,NA
"Atherina boyeri",1892,NA,NA,NA
"Atherina breviceps",1319,NA,NA,NA
"Atherinomorus vaigiensis",51030,2,2,NA
"Atherinops affinis",3431,NA,NA,2
"Atherinopsis californiensis",3432,NA,NA,2.5
"Chirostoma grandocule",40661,NA,NA,NA
"Labidesthes sicculus",3434,NA,NA,NA
"Leuresthes tenuis",3435,NA,NA,NA
"Leuresthes tenuis",3435,NA,NA,NA
"Leuresthes tenuis",3435,NA,NA,1.5
"Menidia extensa",3439,NA,NA,NA
"Odontesthes bonariensis",4896,1,2,NA
"Odontesthes regia",8483,NA,NA,NA
"Auchenipterus osteomystax",46871,NA,NA,NA
"Auchenipterus osteomystax",46871,NA,NA,NA
"Tatia brunnea",40090,NA,NA,NA
"Tatia caxiuanensis",54665,NA,NA,NA
"Tatia meesi",54666,NA,NA,NA
"Trachelyopterus galeatus",13579,NA,NA,NA
"Trachelyopterus galeatus",13579,NA,NA,NA
"Aulorhynchus flavidus",3466,NA,NA,1
"Bagrus bajad",5738,NA,NA,NA
"Bagrus bajad",5738,NA,NA,NA
"Bagrus bajad",5738,NA,NA,NA
"Bagrus bajad",5738,NA,NA,NA
"Bagrus bajad",5738,NA,NA,NA
"Bagrus bajad",5738,NA,NA,NA
"Bagrus bajad",5738,5,NA,NA
"Bagrus bajad",5738,4,NA,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus docmak",6840,3,NA,NA
"Bagrus docmak",6840,3,NA,NA
"Bagrus docmak",6840,2,3,NA
"Bagrus docmak",6840,2,3,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus docmak",6840,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,4
"Bagrus meridionalis",4943,NA,NA,4
"Bagrus meridionalis",4943,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,NA
"Bagrus meridionalis",4943,NA,NA,NA
"Coreobagrus ichikawai",6504,2,NA,NA
"Coreobagrus ichikawai",6504,3,NA,NA
"Mystus vittatus",5375,NA,NA,NA
"Mystus vittatus",5375,NA,NA,NA
"Pelteobagrus ussuriensis",38670,NA,NA,NA
"Pelteobagrus ussuriensis",38670,NA,NA,NA
"Pelteobagrus ussuriensis",38670,4,5,NA
"Tachysurus fulvidraco",38672,3,4,NA
"Balistes capriscus",7628,NA,NA,1
"Balistes capriscus",7628,NA,NA,NA
"Balistes capriscus",7628,NA,NA,NA
"Balistes capriscus",7628,NA,NA,NA
"Balistes capriscus",7628,NA,NA,NA
"Balistes capriscus",7628,NA,NA,NA
"Balistes capriscus",7628,NA,NA,NA
"Balistes vetula",27,NA,NA,NA
"Balistes vetula",27,NA,NA,NA
"Rhinecanthus aculeatus",6136,NA,NA,NA
"Homaloptera tweediei",18228,NA,NA,NA
"Prionodraco evansii",7486,NA,NA,NA
"Psilodraco breviceps",7487,NA,NA,NA
"Psilodraco breviceps",7487,NA,NA,NA
"Bathylagus antarcticus",7268,NA,NA,NA
"Bathylagus antarcticus",7268,NA,NA,NA
"Bathymaster derjugini",18702,7,8,NA
"Batrachoides liberiensis",5166,NA,NA,NA
"Batrachoides liberiensis",5166,NA,NA,NA
"Batrachoides surinamensis",985,NA,NA,NA
"Batrachoides surinamensis",985,NA,NA,NA
"Opsanus beta",3263,NA,NA,NA
"Opsanus phobetron",15182,NA,NA,NA
"Porichthys notatus",3267,NA,NA,3.5
"Belone belone",57,2,NA,NA
"Beryx splendens",1338,4,5,NA
"Beryx splendens",1338,NA,NA,5.9
"Beryx splendens",1338,NA,NA,7.5
"Beryx splendens",1338,2,6,5
"Centroberyx affinis",14033,4,NA,NA
"Blenniella cyanostigma",15362,NA,NA,NA
"Blenniella cyanostigma",15362,NA,NA,NA
"Blenniella leopardus",21266,NA,NA,NA
"Blenniella leopardus",21266,NA,NA,NA
"Cirripectes alboapicalis",4580,NA,NA,NA
"Cirripectes alboapicalis",4580,NA,NA,NA
"Cirripectes alleni",48999,NA,NA,NA
"Cirripectes alleni",48999,NA,NA,NA
"Cirripectes auritus",4581,NA,NA,NA
"Cirripectes auritus",4581,NA,NA,NA
"Cirripectes castaneus",4582,NA,NA,NA
"Cirripectes castaneus",4582,NA,NA,NA
"Cirripectes chelomatus",4583,NA,NA,NA
"Cirripectes chelomatus",4583,NA,NA,NA
"Cirripectes filamentosus",4584,NA,NA,NA
"Cirripectes filamentosus",4584,NA,NA,NA
"Cirripectes fuscoguttatus",4585,NA,NA,NA
"Cirripectes fuscoguttatus",4585,NA,NA,NA
"Cirripectes gilberti",4586,NA,NA,NA
"Cirripectes gilberti",4586,NA,NA,NA
"Cirripectes hutchinsi",4587,NA,NA,NA
"Cirripectes hutchinsi",4587,NA,NA,NA
"Cirripectes imitator",4588,NA,NA,NA
"Cirripectes imitator",4588,NA,NA,NA
"Cirripectes jenningsi",4589,NA,NA,NA
"Cirripectes jenningsi",4589,NA,NA,NA
"Cirripectes obscurus",4592,NA,NA,NA
"Cirripectes obscurus",4592,NA,NA,NA
"Cirripectes perustus",4591,NA,NA,NA
"Cirripectes perustus",4591,NA,NA,NA
"Cirripectes polyzona",4593,NA,NA,NA
"Cirripectes polyzona",4593,NA,NA,NA
"Cirripectes quagga",4594,NA,NA,NA
"Cirripectes quagga",4594,NA,NA,NA
"Cirripectes randalli",4595,NA,NA,NA
"Cirripectes springeri",4596,NA,NA,NA
"Cirripectes springeri",4596,NA,NA,NA
"Cirripectes stigmaticus",4597,NA,NA,NA
"Cirripectes stigmaticus",4597,NA,NA,NA
"Cirripectes vanderbilti",4598,NA,NA,NA
"Cirripectes vanderbilti",4598,NA,NA,NA
"Cirripectes variolosus",4599,NA,NA,NA
"Cirripectes variolosus",4599,NA,NA,NA
"Lipophrys pholis",9521,NA,NA,NA
"Parablennius gattorugine",58,1,NA,NA
"Parablennius ruber",15045,NA,1,NA
"Salaria fluviatilis",5107,1,NA,NA
"Scartichthys gigas",13693,NA,NA,NA
"Scartichthys gigas",13693,NA,NA,NA
"Arnoglossus laterna",51,NA,NA,NA
"Arnoglossus laterna",51,3,NA,NA
"Arnoglossus thori",53,2,NA,NA
"Bothus constellatus",8587,5,6,NA
"Brama australis",45368,NA,NA,NA
"Brama dussumieri",1490,NA,NA,NA
"Brama dussumieri",1490,NA,NA,NA
"Brama japonica",3751,NA,NA,4
"Brama japonica",3751,NA,NA,4
"Bregmaceros rarisquamosus",19742,NA,NA,NA
"Brycon orbignyanus",40798,NA,NA,NA
"Brycon orbignyanus",40798,NA,NA,NA
"Salminus brasiliensis",46380,3,NA,NA
"Salminus brasiliensis",46380,2,NA,NA
"Salminus brasiliensis",46380,NA,NA,NA
"Salminus brasiliensis",46380,NA,NA,NA
"Cataetyx alleni",8490,NA,NA,NA
"Cataetyx laticeps",10571,NA,NA,NA
"Dinematichthys iluocoeteoides",7600,NA,NA,NA
"Pterocaesio digramma",949,2,3,NA
"Pterocaesio digramma",949,2,3,NA
"Pterocaesio monikae",53861,NA,NA,NA
"Hoplosternum littorale",5636,NA,NA,1
"Hoplosternum littorale",5636,NA,NA,2
"Hoplosternum littorale",5636,NA,NA,1
"Hoplosternum littorale",5636,NA,NA,1
"Callionymus belcheri",4918,NA,NA,NA
"Callionymus lyra",34,NA,NA,NA
"Callorhinchus capensis",181,NA,NA,4.2
"Callorhinchus capensis",181,NA,NA,3.3
"Callorhinchus milii",4944,4,NA,NA
"Callorhinchus milii",4944,3,NA,NA
"Callorhinchus milii",4944,4,6,NA
"Callorhinchus milii",4944,NA,NA,NA
