sciname,aveK,aveTLinf,logTLinf,avephi1,aveKphi
Archosargus rhomboidalis,1.27,27.9,2.891208407,2.995012128,1.27
Argentina sialis,0.54,22,2.684845362,2.417239121,0.54
Argentina silus,0.225727273,44.30454545,3.29289657,2.581969362,0.194568617
Argentina sphyraena,0.278,22.3,2.696609726,2.140654522,0.278
Argyropelecus affinis,0.67,10,2,1.826074803,0.67
Argyrops filamentosus,0.227,45.6,3.317929685,2.673955543,0.227
Argyrops spinifer,0.173857143,68.80159,3.67519695,2.860813536,0.153326276
Argyrosomus inodorus,0.116666667,110.3333333,4.085413478,3.146291494,0.11504772
Argyrosomus japonicus,0.1355,157.5,4.394561116,3.320433633,0.084308724
Argyrosomus regius,0.144666667,150.63333,4.355842154,3.40690075,0.112475672
Argyrozona argyrozona,0.0702,70.7046,3.698895339,2.535515099,0.068646715
Ariomma indicum,0.9435,24.10098,2.764069405,2.715546159,0.894286663
Ariopsis guatemalensis,0.0854,78.8452,3.793550518,2.67494243,0.076101271
Aristostomias scintillans,0.4,23,2.723455672,2.325515663,0.4
Arius latiscutatus,0.154,75.9,3.760483552,2.948004273,0.154
Arius maculatus,0.73,45,3.306425028,3.169747888,0.73
Arius parkii,0.171,70.4,3.695145318,2.928141429,0.171
Arnoglossus laterna,0.460857143,15.92857143,2.404353655,1.946037992,0.348084221
Arnoglossus thori,0.5475,17.4,2.481098497,2.217542497,0.545059609
Arrhamphus sclerolepis krefftii,0.66,26.3,2.839911497,2.65765337,0.657267069
Arripis georgianus,0.905,25.05,2.79761546,2.751423716,0.899100533
Arripis trutta,0.4301,58.856819,3.539593573,3.046903216,0.321595263
Arripis truttacea,0.3825,69.45296,3.683381519,3.183464731,0.316288362
Artediellus camchaticus,0.155,19.35,2.573361939,1.763232615,0.154835548
Aspidophoroides monopterygius,0.2335,15.545,2.383181453,1.751326564,0.233423787
Aspredinichthys filamentosus,0.65,33.68,3.054744166,2.867657522,0.65
Aspredo aspredo,0.28,44.8,3.302556028,2.749714059,0.28
Astyanax altiparanae,0.5,14.66666667,2.332662844,2.020147388,0.486950195
Atheresthes evermanni,0.105,91.3,3.920941555,2.923223614,0.100526847
Atheresthes stomias,0.122,71.7275,3.711371388,2.721186831,0.102285823
Atherina boyeri,0.619888889,10.94,2.078034644,1.753875214,0.474067922
Atherina presbyter,0.7,15.4,2.375041442,2.220139482,0.7
Atherinella brasiliensis,0.8545,16.5,2.434967888,2.366022011,0.853206435
Atractoscion aequidens,0.27,118.64429,4.148493683,3.579857448,0.27
Atractoscion nobilis,0.128,146,4.328705712,3.435915681,0.128
Atrobucca nibe,0.2552,47.48,3.353021421,2.710164133,0.227584517
Atropus atropos,1,44,3.286905353,3.286905353,1
Atule mate,0.82,30.57036833,2.970601343,2.872148221,0.797162532
Auchenipterus nuchalis,0.65,33,3.03702788,2.849941236,0.65
Auchenoglanis occidentalis,0.296,52.8,3.445267845,2.916559556,0.296
Aulorhynchus flavidus,0.52,19.9,2.597706153,2.313709496,0.52
Austroglossus microlepis,0.07,57.1,3.513272216,2.358370257,0.07
Austroglossus pectoralis,0.357,43.65,3.279968496,2.832056056,0.356523006
Austrolebias viarius,3.41,5.73,1.516309244,2.026898072,3.240326911
Auxis rochei,0.37575,52.9901,3.448389478,2.99423548,0.351435802
Auxis thazard,0.785714286,51.31,3.420404029,3.275019927,0.715510313
Bagre bagre,0.16,57.89,3.525207099,2.729327082,0.16
Bagrus bajad,0.166923077,74.24538462,3.741338923,2.889247388,0.140575121
Bagrus docmak,0.1236,95.237,3.957611413,2.942177212,0.096508552
Bagrus meridionalis,0.0915,107,4.058767555,3.020030407,0.091466666
Bairdiella chrysoura,3.055,16.3,2.424375209,2.909386423,3.055
Bajacalifornia burragei,0.26,23.2,2.73097597,2.145949318,0.26
Balistes capriscus,0.323857143,48.22782857,3.366595417,2.849379887,0.303937628
Balistes polylepis,0.17,55.8,3.493268398,2.723717319,0.17
Balistes vetula,0.278,56.656202,3.506494916,2.875899965,0.23410196
Ballerus ballerus,0.1865,39.85,3.200856651,2.471402876,0.186443061
Ballerus sapa,0.13,36.38,3.121725389,2.200331293,0.119841132
Barbatula barbatula,0.883333333,16.16666667,2.417240968,2.22197937,0.637879143
Barbodes carnaticus,0.575,49.95,3.397070985,3.152960008,0.570018594
Barbonymus collingwoodii,0.231,11.29279,2.105602504,1.469214484,0.231
Barbus albanicus,0.1135,31.85,3.006218873,2.028979208,0.105380519
Barbus barbus,0.095,65.63333333,3.634248923,2.486723835,0.071199167
Barbus bynni,0.26,66.76681,3.649121254,3.064094602,0.26
Barbus cyclolepis,0.162,31.74275,3.003289097,2.156429674,0.142278926
Barbus grypus,0.0665,174.5,4.483590863,3.242609329,0.057414087
Barbus haasi,0.129,32.85,3.033070748,2.05404219,0.104947342
Barbus holotaenia,0.091,15,2.352182518,1.31122391,0.091
Barbus liberiensis,0.65,12,2.158362492,1.971275849,0.65
Barbus meridionalis,0.142,38.91394,3.18021041,2.332498754,0.142
Barbus paludinosus,1.4,11.4,2.113809703,2.259937738,1.4
Barbus peloponnesius,0.253666667,19.567,2.58304849,1.906166868,0.210435196
Barbus trimaculatus,1.4,10.5,2.042378598,2.188506634,1.4
Bathophilus flemingi,0.375,16,2.408239965,1.982271233,0.375
Bathyagonus nigripinnis,0.26,27.3,2.872325294,2.287298642,0.26
Bathylagus pacificus,0.14,27,2.862727528,2.008855564,0.14
Bathypterois dubius,0.2075,18.6375,2.540775313,1.807668956,0.18488158
Bathyraja interrupta,0.211,55.85,3.494046355,2.814362316,0.209081671
Bathyraja minispinosa,0.02,147,4.334634669,2.635664665,0.02
Bathyraja trachura,0.09,101,4.008642748,2.962885257,0.09
Bathysolea profundicola,0.574,13.7,2.273441134,2.03082742,0.571987168
Batrachocottus baicalensis,0.21,18.9,2.552923608,1.875142903,0.21
Batrachocottus multiradiatus,0.22,19.8,2.593330381,1.935753061,0.22
Bellator gymnostethus,0.876,13.06098,2.231951529,2.174455635,0.876
Belone belone,0.2905,58.175,3.529472784,2.935322316,0.254594802
Belone euxini,0.3249,56,3.496376054,3.008125765,0.3249
Benthalbella linguidens,0.86,13,2.227886705,2.162385156,0.86
Benthosema fibulatum,5.62,7.7,1.77298145,2.522717766,5.62
Benthosema glaciale,0.33,8.225,1.830271813,1.329505042,0.315669941
Benthosema pterotum,1.81,6.8,1.665017825,1.9226964,1.81
Benthosema suborbitale,3.65,3.99834,1.203759443,1.766052308,3.65
Beryx decadactylus,0.102714286,60.54285714,3.564125825,2.556037698,0.098154875
Beryx splendens,0.153347826,55.36948174,3.486540917,2.618574297,0.135529358
Blepsias cirrhosus,0.33,21.3,2.656759207,2.175273147,0.33
Blicca bjoerkna,0.159333333,35.95120667,3.111426943,2.246123019,0.136362852
Bolbometopon muricatum,0.118,87.7,3.885999187,2.93343479,0.111541275
Boleophthalmus pectinirostris,1.23,16,2.408239965,2.494014931,1.218358131
Boops boops,0.22051,31.421464,2.994452832,2.306440043,0.205110178
Boreogadus saida,0.3562,25.5,2.813080361,2.302302103,0.308476257
Borostomias panamensis,0.37,32.95,3.035710838,2.571806326,0.343633494
Bostockia porosa,0.7435,9.8,1.982452151,1.849910877,0.736985131
Bothus podas,0.5825,20.3,2.614992076,2.365228014,0.56264691
Boulengerochromis microlepis,0.56,52.9,3.446911344,3.195099371,0.56
Brachydeuterus auritus,0.449833333,23.61666667,2.7464372,2.372487386,0.42271746
Brachymystax lenok,0.54,50.7,3.410015919,3.142409678,0.54
Brachypleura novaezeelandiae,0.71,21.9,2.68088823,2.532146578,0.71
Brama brama,0.084,70.5,3.696378234,2.62065752,0.084
Brama japonica,0.185,75.31073,3.753713715,3.020885443,0.185
Branchiostegus argentatus,0.312,39.4,3.190992444,2.685147038,0.312
Branchiostegus auratus,0.29075,43.35,3.273978204,2.715041631,0.276098106
Branchiostegus japonicus,0.272416667,44.73888917,3.301370393,2.710967106,0.256801001
Brevoortia patronus,0.403486486,28.19373757,2.900305306,2.413740528,0.326163397
Brevoortia tyrannus,0.424790698,35.5744186,3.102275622,2.676174258,0.374885494
Brosme brosme,0.128555556,78.65555556,3.791458806,2.884137614,0.123788075
Brotula barbata,0.186,80,3.806179974,3.075692918,0.186
Brycinus imberi,0.912,17.65,2.493489419,2.367323776,0.747884196
Brycinus lateralis,2.8,17,2.460897843,2.908055874,2.8
Brycinus leuciscus,1.2,12.818,2.215640534,2.294821781,1.2
Brycinus macrolepidotus,0.46,32,3.010299957,2.673057788,0.46
Brycinus nurse,0.717142857,20.71042857,2.632378172,2.447598104,0.653461389
Brycinus sadleri,0.46,15.56818,2.384475689,2.04723352,0.46
Brycon cephalus,0.473,58.8,3.538754652,3.213615793,0.473
Brycon guatemalensis,0.359,45.7,3.3198324,2.874926849,0.359
Buglossidium luteum,0.59675,12.325,2.181573856,1.941772053,0.575702609
Bunocephalus coracoideus,0.77,16.2,2.419030029,2.305520754,0.77
Calamus leucosteus,0.233,36.8,3.131695637,2.499051558,0.233
Calamus nodosus,0.174,51.2,3.418539922,2.65908917,0.174
Callionymus belcheri,0.444,10.75,2.062816929,1.708762085,0.442532485
Callionymus lyra,0.49,21.25,2.654717869,2.32789363,0.471167972
Callorhinchus capensis,0.11125,88.75,3.896336723,2.845518739,0.088957387
Callorhinchus milii,0.232888889,127.2382711,4.209235519,3.405317407,0.157065893
Calophysus macropterus,0.4345,764.45,5.76669817,4.432431654,0.04631626
Calotomus spinidens,0.975,22.2,2.692705949,2.628935587,0.863434977
Campostoma anomalum,0.578,11.15764,2.09514469,1.857072528,0.578
Capoeta angorae,0.117,54.8,3.477561117,2.533435695,0.113729879
Capoeta antalyensis,0.251,35.8,3.107766053,2.507439775,0.251
Capoeta capoeta capoeta,0.2673,38.16,3.163216732,2.418364989,0.179948511
Capoeta capoeta gracilis,0.35,23.06666667,2.725969679,2.219690253,0.311688352
Capoeta damascina,0.205,267.75,4.855458959,3.620275216,0.058185699
Capoeta erhani,0.9035,32.91,3.034655765,2.989290332,0.900812839
Capoeta fusca,0.325,20.6,2.627734441,2.136237827,0.322480446
Capoeta tinca,0.0625,64.65,3.621137058,2.415882849,0.062336985
Capoeta umbla,0.1425,44,3.286905353,2.439940395,0.142244356
Capros aper,0.2718,13.26,2.245087048,1.623883864,0.239219631
Carangoides armatus,0.87,24.390245,2.774432326,2.710783372,0.863676387
Carangoides bajad,0.598,40.4,3.21276273,2.989463914,0.598
Carangoides chrysophrys,0.245,73.3,3.730207949,3.119283574,0.244948974
Carangoides equula,0.576666667,24.56666667,2.780692466,2.511847537,0.538462013
Carangoides ferdau,0.21,93.13253,3.938202802,3.260422097,0.21
Carangoides malabaricus,0.82,31.123636,2.986180655,2.89123808,0.803632376
Caranx bucculentus,0.305,71.05264,3.703160438,3.187460277,0.305
Caranx caballus,0.3485,51.76,3.427988535,2.969854266,0.348229637
Caranx caninus,0.180666667,89.9,3.907519383,3.102095541,0.156522277
Caranx crysos,0.35,41.2,3.229794432,2.772097443,0.348580438
Caranx hippos,0.65,44.4,3.29476594,3.107679297,0.65
Caranx ignobilis,0.2605,157.9526725,4.397053957,3.484789816,0.122387161
Caranx lugubris,0.201666667,128.9333333,4.220730421,3.238119952,0.104085332
Caranx melampygus,0.2135,97.645765,3.979306824,3.306880204,0.212604954
Caranx rhonchus,0.2315,46.95,3.343271193,2.685515777,0.2199098
Caranx ruber,0.1915,65.05,3.626494602,2.891746152,0.184183851
Caranx sexfasciatus,0.24,91.85,3.926158321,3.306369563,0.24
Caranx tille,0.29,57.5,3.519335689,2.981733687,0.29
Carasobarbus luteus,0.2546,41.21428571,3.230095555,2.440712272,0.162411478
Carassius auratus,0.2245,29.954805,2.952932994,2.287795289,0.216203289
Carassius carassius,0.170333333,36.2,3.117417141,2.153731834,0.108721314
Carassius gibelio,0.221952381,40.76484857,3.220571667,2.532751154,0.205201007
Carcharhinus acronotus,0.293888889,146.2659844,4.330286677,3.655521399,0.211463162
Carcharhinus amblyrhynchos,0.5815,184.040545,4.529827021,4.23339826,0.505325528
Carcharhinus brachyurus,0.038,385,5.170921459,3.750705056,0.038
Carcharhinus brevipinna,0.21,253.42999,4.807716013,4.129935308,0.21
Carcharhinus falciformis,0.1104375,318.375,5.005877916,3.996679932,0.097904356
Carcharhinus galapagensis,0.541,306.66666,4.973333126,4.706530391,0.541
Carcharhinus isodon,0.325,145,4.322736004,3.816726946,0.311882453
Carcharhinus leucas,0.077228571,281,4.89741264,3.725836636,0.0673634
Carcharhinus limbatus,0.227,194.494598,4.577815087,3.922827278,0.221315683
Carcharhinus longimanus,0.1013,285,4.90968972,3.906597727,0.099290571
Carcharhinus obscurus,0.039366667,411.6666667,5.229091406,3.819451793,0.038936812
Carcharhinus plumbeus,0.060225,230.0305638,4.723571088,3.461356104,0.054674525
Carcharhinus porosus,0.077,135.5,4.26387859,3.150326774,0.076992458
Carcharhinus signatus,0.116533333,263.6666667,4.842110458,3.907896646,0.116355305
Carcharhinus sorrah,0.755,111.2,4.092209574,3.886249173,0.622357028
Carcharhinus tilstoni,0.165,179.5,4.508128906,3.717726492,0.162030804
Carcharias taurus,0.1626,284,4.90663668,4.099865408,0.156037408
Carcharodon carcharias,0.064666667,703.3333333,5.694322401,4.50184084,0.064197548
Careproctus colletti,0.67,32.8,3.031747687,2.85782249,0.67
Careproctus melanurus,0.46,33.9,3.060399396,2.697981898,0.434092719
Careproctus zachirus,0.36,30.9,2.979916959,2.53621946,0.36
Carlarius heudelotii,0.145,76.15,3.763339815,2.92020962,0.143505916
Caspiomyzon wagneri,0.215,15.8,2.397314174,1.729752634,0.215
Cataetyx alleni,0.942,9.95,1.995646161,1.969697064,0.942
Catla catla,0.307,118,4.143764015,3.62840796,0.305241758
Catostomus commersonii,0.14,53.65,3.459139453,2.60358264,0.139457921
Catostomus discobolus,0.249666667,29.9,2.951342377,2.272464751,0.209470261
Catostomus latipinnis,0.416666667,52.4,3.438662574,3.056923588,0.415203508
Catostomus platyrhynchus,0.28,23.4,2.738431715,2.185589746,0.28
Caulolatilus affinis,0.1327,49.75774,3.393721293,2.490864155,0.125067037
Caulolatilus microps,0.137,81.4,3.82124881,2.957969377,0.137
Centracanthus cirrus,0.4695,16.8,2.450618563,2.122253914,0.469499734
Centroberyx affinis,0.25,25.2,2.802801082,2.19923607,0.24913514
Centrolabrus exoletus,0.70675,12.975,2.226214733,2.072993951,0.70271499
Centrophorus squamosus,0.045,133.5,4.250962531,2.898242831,0.044389505
Centropomus undecimalis,0.395,103.80909,4.032470768,3.606325991,0.374848022
Centropristis striata,0.32,33.9,3.060399396,2.524685653,0.29126363
Cephalopholis boenak,0.49,18.21758,2.520981371,2.211177451,0.49
Cephalopholis cruentata,0.273333333,36.66666667,3.128542861,2.520634854,0.246656176
Cephalopholis fulva,0.304333333,32.2,3.015711743,2.381953337,0.232402927
Cephalopholis hemistiktos,0.11,34.1,3.065508758,2.106901443,0.11
Cephalopholis panamensis,0.196,30,2.954242509,2.246498581,0.196
Cephalopholis sexmaculata,0.63,22,2.684845362,2.484185911,0.63
Cephalopholis spiloparaea,1,13.8,2.279758173,2.279758173,1
Cephalopholis taeniops,0.135,54.3,3.469599659,2.599933428,0.135
Cephalopholis urodeta,1.39,14.5,2.322736004,2.465750805,1.39
Cepola macrophthalma,0.23075,67.95,3.664378922,2.972569776,0.203325034
Cetengraulis edentulus,0.166666667,16.53333333,2.436720844,1.645147748,0.161594622
Cetengraulis mysticetus,1.794615385,19.22884615,2.567906449,2.768940576,1.588671581
Cetorhinus maximus,0.062,1000,6,4.792391689,0.062
Cetoscarus bicolor,0.255,42.1,3.248564192,2.655104372,0.255
Cetostoma regani,0.67,24,2.760422483,2.586497286,0.67
Chaenocephalus aceratus,0.206,67.25,3.655384577,2.953835918,0.198816004
Chaenogobius annularis,1,7.1,1.702516697,1.702516697,1
Chaetodipterus faber,0.34,49,3.38039216,2.911871077,0.34
Chaetodon auriga,1.5,17.4,2.481098497,2.657189756,1.5
Chaetodon baronessa,0.999,10.9,2.074852996,2.074418484,0.999
Chaetodon citrinellus,2.0455,9.885,1.989953347,2.297223062,2.028942387
Chaetodon lunulatus,0.308,11.28,2.104618199,1.593168916,0.308
Chaetodon miliaris,1.13,15.367,2.373178183,2.426256626,1.13
Chaetodon speculum,1.095,12.7,2.207607442,2.247021561,1.095
Chaetodon trifascialis,0.6115,12.8,2.214419939,1.989195533,0.595354436
Chaetodon trifasciatus,1.9,19,2.557507202,2.836260803,1.9
Champsocephalus gunnari,0.235666667,59.18333333,3.544398844,2.856424959,0.205128552
Channa argus,0.135,109.15,4.07604748,3.205038534,0.134583263
Channa gachua,0.5,17.9,2.505706062,2.204676066,0.5
Channa marulius,0.23,113,4.106156887,3.467884723,0.23
Channa punctata,0.909090909,26.10909091,2.833583501,2.742708869,0.811195192
Channa striata,0.357,50.80909,3.411882833,2.937159728,0.335179072
Channichthys rhinoceratus,0.261,54,3.46478752,2.881428027,0.261
Chanodichthys erythropterus,0.107,104.66,4.039561461,3.044837569,0.101222278
Chanodichthys mongolicus,0.077,78.65,3.791397454,2.587637043,0.062551768
Chanodichthys oxycephalus,0.18,44.9,3.304492682,2.559765187,0.18
Chanos chanos,1.0325,42.425,3.255243702,3.038325379,0.606850449
Chauliodus macouni,0.35,23,2.723455672,2.267523716,0.35
