"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
6730,"Trisopterus esmarkii",56785,74622,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,15,"TL",NA,NA,NA,NA,NA,NA,"North Sea",NA,NA,NA,1790,"2008-03-17T22:40:49.000Z",2,"2012-11-22T00:00:00.000Z",NA,NA,NA,1023
6729,"Trisopterus esmarkii",56785,74622,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,"TL",NA,NA,NA,NA,NA,NA,"North Sea",NA,NA,NA,1790,"2008-03-17T22:40:05.000Z",2,"2012-11-22T00:00:00.000Z",NA,NA,NA,1023
8304,"Trisopterus esmarkii",56785,93934,"unsexed",NA,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Sea (IV, IIIaN)",NA,NA,"Data source: ICES WGNSSK report (time series 1983-2008)",3,"2013-08-08T00:00:00.000Z",NA,"2013-08-08T00:00:00.000Z",NA,NA,NA,1023
1430,"Trisopterus luscus",1385,1371,"unsexed",1,NA,3663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northeastern Atlantic and Mediterranean",NA,NA,NA,2,"1993-10-11T00:00:00.000Z",2,"2008-01-04T00:00:00.000Z",NA,NA,NA,1367
1431,"Trisopterus luscus",1385,6014,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6014,25,NA,NA,NA,NA,"East and West Channel","250",NA,NA,3,"1993-10-19T00:00:00.000Z",NA,"1993-10-19T00:00:00.000Z",NA,NA,NA,1367
1432,"Trisopterus luscus",1385,6014,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25,"TL",6014,NA,NA,NA,NA,NA,"Gulf of Biscay","250",NA,"50 % are mature within the given range.",3,"1993-10-19T00:00:00.000Z",NA,"1994-09-27T00:00:00.000Z",NA,NA,NA,1367
1433,"Trisopterus luscus",1385,6014,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6014,20,NA,NA,NA,NA,"East and West Channel","250",NA,NA,3,"1993-10-19T00:00:00.000Z",NA,"1993-10-19T00:00:00.000Z",NA,NA,NA,1367
1434,"Trisopterus luscus",1385,6014,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,25,"TL",6014,NA,NA,NA,NA,NA,"Gulf of Biscay","250",NA,"50 % are mature within the given range.",3,"1993-10-19T00:00:00.000Z",NA,"1994-09-27T00:00:00.000Z",NA,NA,NA,1367
1435,"Trisopterus luscus",1385,7035,"female",NA,NA,7035,1,NA,NA,NA,NA,NA,NA,NA,NA,"TL",7035,18.3,NA,NA,NA,NA,"Galician coast, 1979-80","724",NA,NA,3,"1994-06-02T00:00:00.000Z",NA,"1994-06-02T00:00:00.000Z",NA,NA,NA,1367
1436,"Trisopterus luscus",1385,7035,"male",NA,NA,7035,2,NA,NA,NA,NA,NA,NA,NA,NA,"TL",7035,19.7,NA,NA,NA,NA,"Galician coast, 1979-80","724",NA,NA,3,"1994-06-02T00:00:00.000Z",NA,"1994-06-02T00:00:00.000Z",NA,NA,NA,1367
3185,"Trisopterus luscus",1385,35388,"unsexed",1,2,35388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"British Isles (west and south) and Western Mediterranean",NA,NA,NA,393,"2001-01-18T00:00:00.000Z",NA,"2001-01-18T00:00:00.000Z",NA,NA,NA,1367
791,"Trisopterus minutus",495,796,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,"English Channel","826",NA,NA,3,"1991-10-17T00:00:00.000Z",NA,"1994-09-30T00:00:00.000Z",NA,NA,NA,481
792,"Trisopterus minutus",495,796,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,"English Channel","826",NA,NA,3,"1991-10-17T00:00:00.000Z",NA,"1994-09-30T00:00:00.000Z",NA,NA,NA,481
793,"Trisopterus minutus",495,1371,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northeastern Atlantic and Mediterranean",NA,NA,NA,2,"1993-10-11T00:00:00.000Z",NA,"1994-09-26T00:00:00.000Z",NA,NA,NA,481
