"sname","genus","fam","ord","class","agem","maxl","vbk","temp"
"Aaptosyax grypus","Aaptosyax","Cyprinidae","Cypriniformes","Actinopterygii",NA,130,NA,NA
"Abactochromis labrosus","Abactochromis","Cichlidae","Perciformes","Actinopterygii",NA,11.5,NA,24.5
"Abalistes filamentosus","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii",NA,32.5,NA,NA
"Abalistes stellaris","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii",NA,60,NA,NA
"Abalistes stellatus","Abalistes","Balistidae","Tetraodontiformes","Actinopterygii",NA,60,NA,NA
"Abbottina liaoningensis","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii",NA,6.6,NA,NA
"Abbottina obtusirostris","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii",NA,7.8,NA,NA
"Abbottina rivularis","Abbottina","Cyprinidae","Cypriniformes","Actinopterygii",1,18.9,0.3,NA
"Ablabys binotatus","Ablabys","Tetrarogidae","Scorpaeniformes","Actinopterygii",NA,15,NA,NA
"Ablabys macracanthus","Ablabys","Tetrarogidae","Scorpaeniformes","Actinopterygii",NA,20,NA,NA
"Ablabys taenianotus","Ablabys","Tetrarogidae","Scorpaeniformes","Actinopterygii",NA,15,NA,NA
"Ablennes hians","Ablennes","Belonidae","Beloniformes","Actinopterygii",NA,140,0.605,27
"Aboma etheostoma","Aboma","Gobiidae","Perciformes","Actinopterygii",NA,3.4,NA,NA
"Aborichthys cataracta","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,9.26,NA,NA
"Aborichthys elongatus","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,7.4,NA,NA
"Aborichthys garoensis","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,8.95,NA,NA
"Aborichthys kempi","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,8.1,NA,NA
"Aborichthys tikaderi","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,10.9,NA,NA
"Aborichthys verticauda","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,7.75,NA,NA
"Aborichthys waikhomi","Aborichthys","Nemacheilidae","Cypriniformes","Actinopterygii",NA,6.8,NA,NA
"Abramis brama","Abramis","Cyprinidae","Cypriniformes","Actinopterygii",3.583333333,82,0.114581385,17
"Abramites eques","Abramites","Anostomidae","Characiformes","Actinopterygii",NA,15,NA,NA
"Abramites hypselonotus","Abramites","Anostomidae","Characiformes","Actinopterygii",NA,14,NA,25
"Abudefduf abdominalis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,30,NA,NA
"Abudefduf bengalensis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,17,NA,NA
"Abudefduf concolor","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,19,NA,NA
"Abudefduf conformis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,13.1,NA,NA
"Abudefduf declivifrons","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,18,NA,NA
"Abudefduf hoefleri","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,20,NA,NA
"Abudefduf lorenzi","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,18,NA,NA
"Abudefduf luridus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,15,NA,NA
"Abudefduf margariteus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,16,NA,NA
"Abudefduf natalensis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,17,NA,NA
"Abudefduf notatus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,17,NA,NA
"Abudefduf saxatilis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,22.9,NA,NA
"Abudefduf septemfasciatus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,23,NA,NA
"Abudefduf sexfasciatus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,19,NA,NA
"Abudefduf sordidus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,24,NA,NA
"Abudefduf sparoides","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,16,NA,NA
"Abudefduf taurus","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,25,NA,NA
"Abudefduf troschelii","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,20,NA,NA
"Abudefduf vaigiensis","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,20,0.85,27
"Abudefduf whitleyi","Abudefduf","Pomacentridae","Perciformes","Actinopterygii",NA,14,NA,NA
"Abyssoberyx levisquamosus","Abyssoberyx","Stephanoberycidae","Stephanoberyciformes","Actinopterygii",NA,16.8,NA,NA
"Abyssobrotula galatheae","Abyssobrotula","Ophidiidae","Ophidiiformes","Actinopterygii",NA,16.5,NA,NA
"Abyssocottus gibbosus","Abyssocottus","Abyssocottidae","Scorpaeniformes","Actinopterygii",NA,14,NA,NA
"Abyssocottus korotneffi","Abyssocottus","Abyssocottidae","Scorpaeniformes","Actinopterygii",5,12.6,0.3,NA
"Acanthaluteres brownii","Acanthaluteres","Monacanthidae","Tetraodontiformes","Actinopterygii",NA,55,NA,NA
"Acanthaluteres spilomelanurus","Acanthaluteres","Monacanthidae","Tetraodontiformes","Actinopterygii",NA,14,NA,NA
"Acanthaluteres vittiger","Acanthaluteres","Monacanthidae","Tetraodontiformes","Actinopterygii",NA,35,NA,NA
"Acanthanectes hystrix","Acanthanectes","Tripterygiidae","Perciformes","Actinopterygii",NA,3.5,NA,NA
"Acanthanectes rufus","Acanthanectes","Tripterygiidae","Perciformes","Actinopterygii",NA,3.55,NA,NA
"Acanthaphritis barbata","Acanthaphritis","Percophidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Acanthaphritis ozawai","Acanthaphritis","Percophidae","Perciformes","Actinopterygii",NA,10.8,NA,NA
"Acantharchus pomotis","Acantharchus","Centrarchidae","Perciformes","Actinopterygii",NA,21,NA,16
"Acanthemblemaria aspera","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,4,NA,NA
"Acanthemblemaria atrata","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,3.2,NA,NA
"Acanthemblemaria balanorum","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,5.19,NA,NA
"Acanthemblemaria betinensis","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,4.3,NA,NA
"Acanthemblemaria castroi","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,6,NA,NA
"Acanthemblemaria chaplini","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,4.5,NA,NA
"Acanthemblemaria crockeri","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,6,NA,NA
"Acanthemblemaria exilispinus","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,5.5,NA,NA
"Acanthemblemaria greenfieldi","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,3.6,NA,NA
"Acanthemblemaria hancocki","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,4.5,NA,NA
"Acanthemblemaria hastingsi","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,5.1,NA,NA
"Acanthemblemaria johnsoni","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,2,NA,NA
"Acanthemblemaria macrospilus","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,6,NA,NA
"Acanthemblemaria mangognatha","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,3.09,NA,NA
"Acanthemblemaria maria","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,5.1,NA,NA
"Acanthemblemaria medusa","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,4,NA,NA
"Acanthemblemaria paula","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,1.8,NA,NA
"Acanthemblemaria rivasi","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,3,NA,NA
"Acanthemblemaria spinosa","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,3.1,NA,NA
"Acanthemblemaria stephensi","Acanthemblemaria","Chaenopsidae","Perciformes","Actinopterygii",NA,5,NA,NA
"Acanthicus adonis","Acanthicus","Loricariidae","Siluriformes","Actinopterygii",NA,20.6,NA,25
"Acanthicus hystrix","Acanthicus","Loricariidae","Siluriformes","Actinopterygii",NA,53,NA,24.5
"Acanthistius brasilianus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,60,NA,NA
"Acanthistius cinctus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,50,NA,NA
"Acanthistius fuscus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,40,NA,NA
"Acanthistius joanae","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,14,NA,NA
"Acanthistius ocellatus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,45,NA,NA
"Acanthistius patachonicus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,31,NA,NA
"Acanthistius pictus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,47,NA,NA
"Acanthistius sebastoides","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,35,NA,NA
"Acanthistius serratus","Acanthistius","Serranidae","Perciformes","Actinopterygii",NA,50,NA,NA
"Acanthobrama centisquama","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,20.2,NA,NA
"Acanthobrama hulensis","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,23,NA,NA
"Acanthobrama lissneri","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,12,NA,NA
"Acanthobrama marmid","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,29,NA,NA
"Acanthobrama microlepis","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,25,0.1049,15
"Acanthobrama orontis","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,15.6,NA,NA
"Acanthobrama persidis","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,9,NA,NA
"Acanthobrama telavivensis","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,11,NA,NA
"Acanthobrama terraesanctae","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,25,0.211575775,23
"Acanthobrama thisbeae","Acanthobrama","Cyprinidae","Cypriniformes","Actinopterygii",NA,17.4,NA,NA
"Acanthobunocephalus nicoi","Acanthobunocephalus","Aspredinidae","Siluriformes","Actinopterygii",NA,1.97,NA,25
"Acanthocepola abbreviata","Acanthocepola","Cepolidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Acanthocepola indica","Acanthocepola","Cepolidae","Perciformes","Actinopterygii",NA,35,NA,NA
"Acanthocepola krusensternii","Acanthocepola","Cepolidae","Perciformes","Actinopterygii",NA,40,NA,NA
"Acanthocepola limbata","Acanthocepola","Cepolidae","Perciformes","Actinopterygii",NA,50,NA,NA
"Acanthochaenus luetkenii","Acanthochaenus","Stephanoberycidae","Stephanoberyciformes","Actinopterygii",NA,14.1,0.414,12
"Acanthocharax microlepis","Acanthocharax","Characidae","Characiformes","Actinopterygii",NA,8.5,NA,NA
"Acanthochromis polyacanthus","Acanthochromis","Pomacentridae","Perciformes","Actinopterygii",NA,14,NA,NA
"Acanthocleithron chapini","Acanthocleithron","Mochokidae","Siluriformes","Actinopterygii",NA,5.5,NA,NA
"Acanthoclinus fuscus","Acanthoclinus","Plesiopidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Acanthoclinus littoreus","Acanthoclinus","Plesiopidae","Perciformes","Actinopterygii",NA,12.6,0.41,12
"Acanthoclinus marilynae","Acanthoclinus","Plesiopidae","Perciformes","Actinopterygii",NA,17,NA,NA
"Acanthoclinus rua","Acanthoclinus","Plesiopidae","Perciformes","Actinopterygii",NA,11.5,NA,NA
"Acanthocobitis botia","Acanthocobitis","Nemacheilidae","Cypriniformes","Actinopterygii",NA,11,NA,25
"Acanthocobitis mooreh","Acanthocobitis","Nemacheilidae","Cypriniformes","Actinopterygii",NA,4.4,NA,NA
"Acanthocobitis pavonacea","Acanthocobitis","Nemacheilidae","Cypriniformes","Actinopterygii",NA,8,NA,NA
"Acanthocobitis rubidipinnis","Acanthocobitis","Nemacheilidae","Cypriniformes","Actinopterygii",NA,10,NA,24
"Acanthocobitis urophthalmus","Acanthocobitis","Nemacheilidae","Cypriniformes","Actinopterygii",NA,4,NA,NA
"Acanthocobitis zonalternans","Acanthocobitis","Nemacheilidae","Cypriniformes","Actinopterygii",NA,7.8,NA,25
"Acanthocybium solandri","Acanthocybium","Scombridae","Perciformes","Actinopterygii",1.25,250,0.282565525,27
"Acanthodoras cataphractus","Acanthodoras","Doradidae","Siluriformes","Actinopterygii",NA,11.5,NA,24
"Acanthodoras depressus","Acanthodoras","Doradidae","Siluriformes","Actinopterygii",NA,8.1,NA,NA
"Acanthodoras spinosissimus","Acanthodoras","Doradidae","Siluriformes","Actinopterygii",NA,13.7,NA,NA
"Acanthogobio guentheri","Acanthogobio","Cyprinidae","Cypriniformes","Actinopterygii",NA,20,NA,NA
"Acanthogobius flavimanus","Acanthogobius","Gobiidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Acanthogobius hasta","Acanthogobius","Gobiidae","Perciformes","Actinopterygii",NA,50,NA,NA
"Acanthogobius lactipes","Acanthogobius","Gobiidae","Perciformes","Actinopterygii",NA,9.4,NA,NA
"Acanthogobius luridus","Acanthogobius","Gobiidae","Perciformes","Actinopterygii",NA,6,NA,NA
"Acantholabrus palloni","Acantholabrus","Labridae","Perciformes","Actinopterygii",NA,25,NA,NA
"Acantholiparis caecus","Acantholiparis","Liparidae","Scorpaeniformes","Actinopterygii",NA,3.9,NA,NA
"Acantholiparis opercularis","Acantholiparis","Liparidae","Scorpaeniformes","Actinopterygii",NA,6.9,NA,NA
"Acantholumpenus mackayi","Acantholumpenus","Stichaeidae","Perciformes","Actinopterygii",NA,70,NA,NA
"Acanthonus armatus","Acanthonus","Ophidiidae","Ophidiiformes","Actinopterygii",NA,37.5,NA,NA
"Acanthopagrus akazakii","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,18.5,NA,NA
"Acanthopagrus arabicus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,25.8,0.212069694,22.8
"Acanthopagrus australis","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",3.666666667,66,0.51,12
"Acanthopagrus berda","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,90,0.28147409,26
"Acanthopagrus bifasciatus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",3.3,36.2,0.224562522,27.53333333
"Acanthopagrus butcheri","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",3.2,60,0.158935165,15.075
"Acanthopagrus catenula","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,36.4,NA,NA
"Acanthopagrus chinshira","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,20.4,NA,NA
"Acanthopagrus latus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",3.5,35.2,0.167,NA
"Acanthopagrus longispinnis","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,20,NA,NA
"Acanthopagrus morrisoni","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,45,NA,NA
"Acanthopagrus omanensis","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,14.5,NA,NA
"Acanthopagrus pacificus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",1.15,50,NA,NA
"Acanthopagrus palmaris","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,40,NA,NA
"Acanthopagrus randalli","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,32.2,NA,NA
"Acanthopagrus schlegelii","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,50,NA,NA
"Acanthopagrus sheim","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,30,NA,NA
"Acanthopagrus sivicolus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,45,NA,NA
"Acanthopagrus taiwanensis","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,18.4,NA,NA
"Acanthopagrus vagus","Acanthopagrus","Sparidae","Perciformes","Actinopterygii",NA,26.2,NA,NA
"Acanthoplesiops cappuccino","Acanthoplesiops","Plesiopidae","Perciformes","Actinopterygii",NA,1.64,NA,NA
"Acanthoplesiops echinatus","Acanthoplesiops","Plesiopidae","Perciformes","Actinopterygii",NA,4,NA,NA
"Acanthoplesiops hiatti","Acanthoplesiops","Plesiopidae","Perciformes","Actinopterygii",NA,2.4,NA,NA
"Acanthoplesiops indicus","Acanthoplesiops","Plesiopidae","Perciformes","Actinopterygii",NA,5,NA,NA
"Acanthoplesiops naka","Acanthoplesiops","Plesiopidae","Perciformes","Actinopterygii",NA,0.99,NA,NA
"Acanthoplesiops psilogaster","Acanthoplesiops","Plesiopidae","Perciformes","Actinopterygii",NA,2.26,NA,NA
"Acanthopoma annectens","Acanthopoma","Trichomycteridae","Siluriformes","Actinopterygii",NA,12,NA,NA
"Acanthopsetta nadeshnyi","Acanthopsetta","Pleuronectidae","Pleuronectiformes","Actinopterygii",7,46,NA,NA
"Acanthopsoides delphax","Acanthopsoides","Cobitidae","Cypriniformes","Actinopterygii",NA,6,NA,NA
"Acanthopsoides gracilentus","Acanthopsoides","Cobitidae","Cypriniformes","Actinopterygii",NA,6,NA,NA
"Acanthopsoides gracilis","Acanthopsoides","Cobitidae","Cypriniformes","Actinopterygii",NA,5.4,NA,NA
"Acanthopsoides hapalias","Acanthopsoides","Cobitidae","Cypriniformes","Actinopterygii",NA,6,NA,NA
"Acanthopsoides molobrion","Acanthopsoides","Cobitidae","Cypriniformes","Actinopterygii",NA,4.5,NA,NA
"Acanthopsoides robertsi","Acanthopsoides","Cobitidae","Cypriniformes","Actinopterygii",NA,5.5,NA,NA
"Acanthorhodeus chankaensis","Acanthorhodeus","Cyprinidae","Cypriniformes","Actinopterygii",NA,12,NA,20
"Acanthosphex leurynnis","Acanthosphex","Aploactinidae","Scorpaeniformes","Actinopterygii",NA,3.1,NA,NA
"Acanthostracion guineensis","Acanthostracion","Ostraciidae","Tetraodontiformes","Actinopterygii",NA,18,NA,NA
"Acanthostracion notacanthus","Acanthostracion","Ostraciidae","Tetraodontiformes","Actinopterygii",NA,50,NA,NA
"Acanthostracion polygonius","Acanthostracion","Ostraciidae","Tetraodontiformes","Actinopterygii",NA,50,NA,NA
"Acanthostracion quadricornis","Acanthostracion","Ostraciidae","Tetraodontiformes","Actinopterygii",NA,55,NA,NA
"Acanthurus achilles","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,24,NA,27
"Acanthurus albipectoralis","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,33,NA,NA
"Acanthurus auranticavus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,45,0.676,26
"Acanthurus bahianus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,38.1,0.95027392,23
"Acanthurus bariene","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,50,NA,26
"Acanthurus blochii","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,45,0.25,26
"Acanthurus chirurgus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,39,0.421496236,23.5
"Acanthurus chronixis","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,28,NA,NA
"Acanthurus coeruleus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,39,0.345264153,25
"Acanthurus dussumieri","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,54,0.296,26
"Acanthurus fowleri","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,45,NA,26
"Acanthurus gahhm","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,40,NA,26
"Acanthurus grammoptilus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,35,NA,NA
"Acanthurus guttatus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,26,NA,NA
"Acanthurus japonicus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,21,NA,26
"Acanthurus leucocheilus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,45,NA,25
"Acanthurus leucopareius","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,25,NA,26
"Acanthurus leucosternon","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,54,1.3,25.5
"Acanthurus lineatus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",4,38,0.70088742,27
"Acanthurus maculiceps","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,40,NA,26
"Acanthurus mata","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,50,0.219,25.5
"Acanthurus monroviae","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,45,NA,22.5
"Acanthurus nigricans","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,21.3,0.28,25
"Acanthurus nigricauda","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,40,0.6,25.5
"Acanthurus nigrofuscus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",2,21,0.593219954,26
"Acanthurus nigroris","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,25,NA,NA
"Acanthurus nubilus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,26,NA,26
"Acanthurus olivaceus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,35,1.066,26
"Acanthurus polyzona","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,11,NA,NA
"Acanthurus pyroferus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,29,0.422,27
"Acanthurus randalli","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,18,NA,NA
"Acanthurus reversus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,34,NA,NA
"Acanthurus sohal","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,40,NA,27
"Acanthurus tennentii","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,31,NA,26
"Acanthurus thompsoni","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,27,NA,25.5
"Acanthurus triostegus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",1,27,0.782747468,25
"Acanthurus tristis","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,25,NA,NA
"Acanthurus xanthopterus","Acanthurus","Acanthuridae","Perciformes","Actinopterygii",NA,70,0.287,26
"Acantopsis choirorhynchos","Acantopsis","Cobitidae","Cypriniformes","Actinopterygii",NA,30,NA,NA
"Acantopsis dialuzona","Acantopsis","Cobitidae","Cypriniformes","Actinopterygii",NA,25,NA,26.5
"Acantopsis octoactinotos","Acantopsis","Cobitidae","Cypriniformes","Actinopterygii",NA,9.6,NA,NA
"Acantopsis spectabilis","Acantopsis","Cobitidae","Cypriniformes","Actinopterygii",NA,30,NA,NA
"Acantopsis thiemmedhi","Acantopsis","Cobitidae","Cypriniformes","Actinopterygii",NA,11.76,NA,NA
"Acapoeta tanganicae","Acapoeta","Cyprinidae","Cypriniformes","Actinopterygii",NA,61,NA,NA
"Acarichthys heckelii","Acarichthys","Cichlidae","Perciformes","Actinopterygii",NA,13.4,NA,24.5
"Acarobythites larsonae","Acarobythites","Bythitidae","Ophidiiformes","Actinopterygii",NA,2.52,NA,NA
"Acaronia nassa","Acaronia","Cichlidae","Perciformes","Actinopterygii",NA,15.4,NA,26.5
"Acaronia vultuosa","Acaronia","Cichlidae","Perciformes","Actinopterygii",NA,12.2,NA,NA
"Acentrogobius audax","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,10,NA,25
"Acentrogobius caninus","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,13,NA,NA
"Acentrogobius chlorostigmatoides","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,11,NA,NA
"Acentrogobius cyanomos","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,11.5,NA,25
"Acentrogobius dayi","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,11,NA,NA
"Acentrogobius ennorensis","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,5.8,NA,NA
"Acentrogobius griseus","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,8,NA,NA
"Acentrogobius janthinopterus","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,12.5,NA,NA
"Acentrogobius moloanus","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,8,NA,NA
"Acentrogobius nebulosus","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,18,NA,NA
"Acentrogobius pellidebilis","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,7,NA,NA
"Acentrogobius pflaumii","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,12,NA,NA
"Acentrogobius simplex","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Acentrogobius suluensis","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,3.3,NA,NA
"Acentrogobius therezieni","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Acentrogobius viridipunctatus","Acentrogobius","Gobiidae","Perciformes","Actinopterygii",NA,16.5,NA,25
"Acentronichthys leptos","Acentronichthys","Heptapteridae","Siluriformes","Actinopterygii",NA,9.1,NA,NA
"Acentronura breviperula","Acentronura","Syngnathidae","Syngnathiformes","Actinopterygii",NA,5,NA,NA
"Acentronura tentaculata","Acentronura","Syngnathidae","Syngnathiformes","Actinopterygii",NA,6.3,NA,NA
"Acestridium colombiense","Acestridium","Loricariidae","Siluriformes","Actinopterygii",NA,4.95,NA,NA
"Acestridium dichromum","Acestridium","Loricariidae","Siluriformes","Actinopterygii",NA,6.3,NA,NA
"Acestridium discus","Acestridium","Loricariidae","Siluriformes","Actinopterygii",NA,6.7,NA,NA
"Acestridium martini","Acestridium","Loricariidae","Siluriformes","Actinopterygii",NA,6.7,NA,NA
"Acestridium triplax","Acestridium","Loricariidae","Siluriformes","Actinopterygii",NA,5.55,NA,NA
"Acestrocephalus acutus","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,10.35,NA,NA
"Acestrocephalus anomalus","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,20,NA,NA
"Acestrocephalus boehlkei","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,13.5,NA,NA
"Acestrocephalus nigrifasciatus","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,9.3,NA,NA
"Acestrocephalus pallidus","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,6.05,NA,NA
"Acestrocephalus sardina","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,13.5,NA,NA
"Acestrocephalus stigmatus","Acestrocephalus","Characidae","Characiformes","Actinopterygii",NA,9.8,NA,NA
"Acestrorhynchus abbreviatus","Acestrorhynchus","Acestrorhynchidae","Characiformes","Actinopterygii",NA,22,NA,NA
"Acestrorhynchus altus","Acestrorhynchus","Acestrorhynchidae","Characiformes","Actinopterygii",NA,23.3,NA,24
"Acestrorhynchus britskii","Acestrorhynchus","Acestrorhynchidae","Characiformes","Actinopterygii",NA,16.5,NA,NA
"Acestrorhynchus falcatus","Acestrorhynchus","Acestrorhynchidae","Characiformes","Actinopterygii",NA,27.2,NA,NA
